name,year,company_id,company_name,company_url,company_country,company_startyear
Mortimer Beckett and the Secrets of Spooky Manor,2008,4282,Paprikari,https://www.igdb.com/companies/paprikari,Serbia,
Mortimer Beckett and the Secrets of Spooky Manor,2008,4283,Avanquest,https://www.igdb.com/companies/avanquest,,
Mortimer Beckett and the Secrets of Spooky Manor,2008,4284,GSP,https://www.igdb.com/companies/gsp,,
Mortimer Beckett and the Secrets of Spooky Manor,2008,1668,Mumbo Jumbo,https://www.igdb.com/companies/mumbo-jumbo,,
Mother 3,2006,762,HAL Laboratory,https://www.igdb.com/companies/hal-laboratory,Japan,1980
Mother 3,2006,1866,Brownie Brown,https://www.igdb.com/companies/brownie-brown,Japan,2000
Mother 3,2006,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
MotorStorm,2006,1213,Evolution Studios,https://www.igdb.com/companies/evolution-studios,United Kingdom,1999
MotorStorm,2006,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
MotorStorm: Apocalypse,2011,1213,Evolution Studios,https://www.igdb.com/companies/evolution-studios,United Kingdom,1999
MotorStorm: Apocalypse,2011,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
MotorStorm: Arctic Edge,2009,12984,Bigbig Studios,https://www.igdb.com/companies/bigbig-studios,United Kingdom,2001
MotorStorm: Arctic Edge,2009,794,Virtuos,https://www.igdb.com/companies/virtuos,China,2004
MotorStorm: Arctic Edge,2009,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
MotorStorm: Pacific Rift,2008,1213,Evolution Studios,https://www.igdb.com/companies/evolution-studios,United Kingdom,1999
MotorStorm: Pacific Rift,2008,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Mount & Blade,2008,517,Paradox Interactive,https://www.igdb.com/companies/paradox-interactive,Sweden,1998
Mount & Blade,2008,947,Taleworlds,https://www.igdb.com/companies/taleworlds,Turkey,2005
Mount & Blade: Warband,2010,517,Paradox Interactive,https://www.igdb.com/companies/paradox-interactive,Sweden,1998
Mount & Blade: Warband,2010,947,Taleworlds,https://www.igdb.com/companies/taleworlds,Turkey,2005
