name,year,company_id,company_name,company_url,company_country,company_startyear
Advance Wars 2: Black Hole Rising,2003,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Advance Wars: Dual Strike,2005,25077,Intelligent Systems,https://www.igdb.com/companies/intelligent-systems,,
Advance Wars: Dual Strike,2005,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Advent Rising,2005,2532,GlyphX Games,https://www.igdb.com/companies/glyphx-games,,
Advent Rising,2005,700,Majesco Entertainment,https://www.igdb.com/companies/majesco-entertainment,United States,1986
Advent Rising,2005,13,Demiurge Studios,https://www.igdb.com/companies/demiurge-studios,United States,2002
Adventure Island,1986,864,Hudson Soft,https://www.igdb.com/companies/hudson-soft,Japan,1973
Adventure Island,1986,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,449,D3 Publisher,https://www.igdb.com/companies/d3-publisher,,
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,28729,WayForward,https://www.igdb.com/companies/wayforward,United States,1990
Adventure Time: The Secret of the Nameless Kingdom,2014,1737,Little Orbit,https://www.igdb.com/companies/little-orbit,United Kingdom,
Adventure Time: The Secret of the Nameless Kingdom,2014,28729,WayForward,https://www.igdb.com/companies/wayforward,United States,1990
Adventures of Lolo,1989,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Adventures of Lolo,1989,762,HAL Laboratory,https://www.igdb.com/companies/hal-laboratory,Japan,1980
Adventures of Lolo,1989,762,HAL Laboratory,https://www.igdb.com/companies/hal-laboratory,Japan,1980
AeroFighters Assault,1997,1278,Paradigm Entertainment,https://www.igdb.com/companies/paradigm-entertainment,,
AeroFighters Assault,1997,1192,Vic Tokai,https://www.igdb.com/companies/vic-tokai,Japan,1977
AeroFighters Assault,1997,812,Gradiente,https://www.igdb.com/companies/gradiente,Brazil,1969
Afrika,2008,716,Natsume Inc.,https://www.igdb.com/companies/natsume-inc,United States,1995
Afrika,2008,3043,Rhino Studios,https://www.igdb.com/companies/rhino-studios,,
Afrika,2008,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Afro Samurai,2009,2432,Surge,https://www.igdb.com/companies/surge,,
Afro Samurai,2009,6330,Namco Bandai Games,https://www.igdb.com/companies/namco-bandai-games,Japan,2006
Agatha Christie: The ABC Murders,2016,1316,Black Lantern Studios,https://www.igdb.com/companies/black-lantern-studios,,
Agatha Christie: The ABC Murders,2016,236,DreamCatcher Interactive,https://www.igdb.com/companies/dreamcatcher-interactive,Canada,1996
Age of Empires II: The Age of Kings,1999,68,Ensemble Studios,https://www.igdb.com/companies/ensemble-studios,United States,1995
Age of Empires II: The Age of Kings,1999,128,Microsoft,https://www.igdb.com/companies/microsoft,United States,1975
Age of Empires II: The Age of Kings,1999,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
Age of Empires III,2005,132,Destineer,https://www.igdb.com/companies/destineer,United States,2000
Age of Empires III,2005,53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002
Age of Empires III,2005,68,Ensemble Studios,https://www.igdb.com/companies/ensemble-studios,United States,1995
Age of Empires III,2005,130,MacSoft Games,https://www.igdb.com/companies/macsoft-games,United States,1993
Age of Empires III,2005,131,Robot Entertainment,https://www.igdb.com/companies/robot-entertainment,United States,2009
Age of Empires Online,2011,53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002
Age of Empires Online,2011,239,Gas Powered Games,https://www.igdb.com/companies/gas-powered-games,,
Age of Empires Online,2011,131,Robot Entertainment,https://www.igdb.com/companies/robot-entertainment,United States,2009
Age of Empires: Mythologies,2008,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Age of Empires: Mythologies,2008,62,Griptonite Games,https://www.igdb.com/companies/griptonite-games,United States,1994
Age of Mythology,2002,68,Ensemble Studios,https://www.igdb.com/companies/ensemble-studios,United States,1995
