company_id,company_name,company_url,company_country,company_startyear
1001,Eutechnyx,https://www.igdb.com/companies/eutechnyx,United Kingdom,1996.0
1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982.0
749,SCE Cambridge Studio,https://www.igdb.com/companies/sce-cambridge-studio,United Kingdom,1997.0
8,2K Games,https://www.igdb.com/companies/2k-games,United States,2005.0
334,Sony Computer Entertainment Europe,https://www.igdb.com/companies/sony-computer-entertainment-europe,,
4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996.0
1309,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995.0
1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986.0
818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986.0
1327,SouthPeak Interactive,https://www.igdb.com/companies/southpeak-interactive,United States,1996.0
2099,Silicon Studio,https://www.igdb.com/companies/silicon-studio,Japan,2000.0
241,989 Studios,https://www.igdb.com/companies/989-studios,United States,1998.0
205,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993.0
12540,Piko Interactive,https://www.igdb.com/companies/piko-interactive,United States,2013.0
425,Eurocom Entertainment Software,https://www.igdb.com/companies/eurocom-entertainment-software,United Kingdom,1988.0
197,THQ,https://www.igdb.com/companies/thq,United States,1989.0
2429,Swordfish Studios,https://www.igdb.com/companies/swordfish-studios,United Kingdom,2002.0
16565,Bethesda Softworks,https://www.igdb.com/companies/bethesda-softworks,United States,1986.0
1987,Genuine Games,https://www.igdb.com/companies/genuine-games,,
1988,Interscope,https://www.igdb.com/companies/interscope,,
392,High Voltage Software,https://www.igdb.com/companies/high-voltage-software,United States,1993.0
24,Sierra Entertainment,https://www.igdb.com/companies/sierra-entertainment,United States,1979.0
80,Vivendi Games,https://www.igdb.com/companies/vivendi-games,United States,2006.0
112,Sega,https://www.igdb.com/companies/sega,Japan,2020.0
2092,Imageepoch,https://www.igdb.com/companies/imageepoch,Japan,2005.0
2248,Daedalic Entertainment,https://www.igdb.com/companies/daedalic-entertainment,Germany,2007.0
1117,Lace Mamba Global,https://www.igdb.com/companies/lace-mamba-global,,
37,Capcom,https://www.igdb.com/companies/capcom,Japan,1979.0
263,Namco,https://www.igdb.com/companies/namco,Japan,1969.0
419,Project Aces,https://www.igdb.com/companies/project-aces,Japan,
248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015.0
13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993.0
6330,Namco Bandai Games,https://www.igdb.com/companies/namco-bandai-games,Japan,2006.0
3301,Atari Europe,https://www.igdb.com/companies/atari-europe,,
831,Access Games,https://www.igdb.com/companies/access-games,Japan,2002.0
617,Bandai,https://www.igdb.com/companies/bandai,Japan,1969.0
861,Treasure,https://www.igdb.com/companies/treasure,Japan,
70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969.0
25077,Intelligent Systems,https://www.igdb.com/companies/intelligent-systems,,
5163,iQue,https://www.igdb.com/companies/ique,,
2532,GlyphX Games,https://www.igdb.com/companies/glyphx-games,,
700,Majesco Entertainment,https://www.igdb.com/companies/majesco-entertainment,United States,1986.0
13,Demiurge Studios,https://www.igdb.com/companies/demiurge-studios,United States,2002.0
864,Hudson Soft,https://www.igdb.com/companies/hudson-soft,Japan,1973.0
129,Konami,https://www.igdb.com/companies/konami,Japan,1969.0
449,D3 Publisher,https://www.igdb.com/companies/d3-publisher,,
28729,WayForward,https://www.igdb.com/companies/wayforward,United States,1990.0
1737,Little Orbit,https://www.igdb.com/companies/little-orbit,United Kingdom,
762,HAL Laboratory,https://www.igdb.com/companies/hal-laboratory,Japan,1980.0
1278,Paradigm Entertainment,https://www.igdb.com/companies/paradigm-entertainment,,
1192,Vic Tokai,https://www.igdb.com/companies/vic-tokai,Japan,1977.0
812,Gradiente,https://www.igdb.com/companies/gradiente,Brazil,1969.0
716,Natsume Inc.,https://www.igdb.com/companies/natsume-inc,United States,1995.0
3043,Rhino Studios,https://www.igdb.com/companies/rhino-studios,,
2432,Surge,https://www.igdb.com/companies/surge,,
1316,Black Lantern Studios,https://www.igdb.com/companies/black-lantern-studios,,
236,DreamCatcher Interactive,https://www.igdb.com/companies/dreamcatcher-interactive,Canada,1996.0
68,Ensemble Studios,https://www.igdb.com/companies/ensemble-studios,United States,1995.0
128,Microsoft,https://www.igdb.com/companies/microsoft,United States,1975.0
132,Destineer,https://www.igdb.com/companies/destineer,United States,2000.0
53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002.0
130,MacSoft Games,https://www.igdb.com/companies/macsoft-games,United States,1993.0
131,Robot Entertainment,https://www.igdb.com/companies/robot-entertainment,United States,2009.0
239,Gas Powered Games,https://www.igdb.com/companies/gas-powered-games,,
62,Griptonite Games,https://www.igdb.com/companies/griptonite-games,United States,1994.0
1817,Z-Axis,https://www.igdb.com/companies/z-axis,,
287,Acclaim Entertainment,https://www.igdb.com/companies/acclaim-entertainment,United States,1987.0
1334,H2O Interactive,https://www.igdb.com/companies/h2o-interactive,Canada,1994.0
7301,Arsys Software,https://www.igdb.com/companies/arsys-software,,
347,Criterion Games,https://www.igdb.com/companies/criterion-games,United Kingdom,1996.0
2187,XSEED Games,https://www.igdb.com/companies/xseed-games--1,United States,2004.0
1383,ACQUIRE Corp.,https://www.igdb.com/companies/acquire-corp,Japan,1994.0
2262,NIS America,https://www.igdb.com/companies/nis-america,United States,2003.0
552,Crystal Dynamics,https://www.igdb.com/companies/crystal-dynamics,United States,1992.0
52,LTI Gray Matter,https://www.igdb.com/companies/lti-gray-matter,,
305,Remedy Entertainment,https://www.igdb.com/companies/remedy-entertainment,Finland,1995.0
754,Legacy Interactive,https://www.igdb.com/companies/legacy-interactive,,
753,Nordic Games Publishing,https://www.igdb.com/companies/nordic-games-publishing,Austria,2008.0
755,Namco Bandai Partners,https://www.igdb.com/companies/namco-bandai-partners,Japan,2009.0
756,E-Frontier,https://www.igdb.com/companies/e-frontier,,
945,Nitro Games,https://www.igdb.com/companies/nitro-games,Finland,
426,Disney Interactive Studios,https://www.igdb.com/companies/disney-interactive-studios,United States,1988.0
1909,Etranges Libellulles,https://www.igdb.com/companies/etranges-libellulles,,
740,Spicy Horse Games,https://www.igdb.com/companies/spicy-horse-games,China,2007.0
1264,O3 Entertainment,https://www.igdb.com/companies/o3-entertainment,,
355,Zoo Digital,https://www.igdb.com/companies/zoo-digital,United Kingdom,1999.0
1228,The Behemoth,https://www.igdb.com/companies/the-behemoth,United States,2003.0
77,Totally Games,https://www.igdb.com/companies/totally-games,United States,1993.0
532,Probe Entertainment,https://www.igdb.com/companies/probe-entertainment,United Kingdom,1984.0
23,Feral Interactive,https://www.igdb.com/companies/feral-interactive,United Kingdom,1996.0
111,The Creative Assembly,https://www.igdb.com/companies/the-creative-assembly,United Kingdom,1987.0
148,Gearbox Software,https://www.igdb.com/companies/gearbox-software,United States,1999.0
187,"Nerve Software, LLC",https://www.igdb.com/companies/nerve-software-llc,United States,2001.0
408,TimeGate Studios,https://www.igdb.com/companies/timegate-studios,United States,1998.0
1975,2K Sports,https://www.igdb.com/companies/2k-sports,United States,2005.0
694,Visual Concepts,https://www.igdb.com/companies/visual-concepts,United States,1988.0
765,"Intelligent Systems Co., Ltd.",https://www.igdb.com/companies/intelligent-systems-co-dot-ltd,Japan,1986.0
1809,Nintendo R&D1,https://www.igdb.com/companies/nintendo-r-d1,Japan,1970.0
33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993.0
213,Infogrames,https://www.igdb.com/companies/infogrames,France,1983.0
885,Krisalis Software,https://www.igdb.com/companies/krisalis-software,,
3022,Kung Fu Factory,https://www.igdb.com/companies/kung-fu-factory,United States,
2379,Pony Canyon,https://www.igdb.com/companies/pony-canyon,Japan,1969.0
