name,url,year,rating,votes,plot
Advent Rising,https://www.imdb.com/title/tt0475216/?ref_=adv_li_tt,2005,7.6,236,"Rookie space pilot Gideon Wyeth is thrown into battle when a vicious race, known as ""the Seekers"" invade and attack the space station."
Adventure Island,https://www.imdb.com/title/tt0475058/?ref_=adv_li_tt,1986,7.2,155,Master Higgins ventures to Adventure Island in the South Pacific after hearing that the Evil Witch Doctor kidnapped Princess Tina.
Adventure Time: Explore the Dungeon Because I Don't Know!,https://www.imdb.com/title/tt4478178/?ref_=adv_li_tt,2013,6.5,50,Princess Bubblegum summons Finn and Jake to the Candy Kingdom to investigate the large and secret Royal Dungeon that lies below the Land of Ooo.
Adventure Time: Finn & Jake Investigations,https://www.imdb.com/title/tt5255038/?ref_=adv_li_tt,2015,6.9,63,"BMO broke Finn Favorite Record and while BMO tries to fix it, Finn and Jake Investigate Cases all Around Ooo will they be able to solve them all and fix Finn Favorite Record?"
Adventure Time: The Secret of the Nameless Kingdom,https://www.imdb.com/title/tt5344662/?ref_=adv_li_tt,2014,5.5,24,"Someone has kidnapped all of princesses of the Nameless Kingdom, Naturally Princess Bubblegum sends Finn and his best bud Jake on a heroic adventure to rescue, After all, every kingdom needs a princess who rules."
Adventures of Lolo,https://www.imdb.com/title/tt3469438/?ref_=adv_li_tt,1989,7.1,47,Add a Plot
AeroFighters Assault,https://www.imdb.com/title/tt5433870/?ref_=adv_li_tt,1997,6.0,10,Add a Plot
Afrika,https://www.imdb.com/title/tt0891432/?ref_=adv_li_tt,2008,7.3,15,Add a Plot
Afro Samurai,https://www.imdb.com/title/tt1346947/?ref_=adv_li_tt,2009,6.9,383,"In this video game adaption of the popular anime, you gain control over the emotionless Afro Samurai as he kills various cyborgs, assassins, and ninjas to become Number 1."
Again,https://www.imdb.com/title/tt1956419/?ref_=adv_li_tt,2009,0.0,0,Add a Plot
Agatha Christie: The ABC Murders,https://www.imdb.com/title/tt13452770/?ref_=adv_li_tt,2016,6.3,50,Add a Plot
Age of Empires II: The Age of Kings,https://www.imdb.com/title/tt0413662/?ref_=adv_li_tt,1999,8.8,"3,368",The Age of Kings is set in the Middle Ages and contains thirteen playable civilizations.
Age of Empires III,https://www.imdb.com/title/tt0488937/?ref_=adv_li_tt,2005,7.8,"2,608","Age of Empires III portrays the European colonization of the Americas, between approximately 1492 and 1876 AD. Command one of eight mighty European powers and colonize vast, uncharted territory."
Age of Empires Online,https://www.imdb.com/title/tt3087102/?ref_=adv_li_tt,2011,6.2,25,Add a Plot
Age of Empires: Mythologies,https://www.imdb.com/title/tt5712998/?ref_=adv_li_tt,2008,7.7,85,Add a Plot
Age of Mythology,https://www.imdb.com/title/tt0413663/?ref_=adv_li_tt,2002,8.3,"2,094","Arkantos, the heroic admiral of Atlantis, looks for a cause of a series of menacing omens, and accidentally intervenes in the titans' dark plan of preparing an uprising against the gods."
Aggressive Inline,https://www.imdb.com/title/tt0458309/?ref_=adv_li_tt,2002,7.3,48,Features professional inline skater and introduces the Juice Meter and Action Button with up to 60 objectives and 15 cinematic events per each of 7 huge levels.
Aidyn Chronicles: The First Mage,https://www.imdb.com/title/tt0279635/?ref_=adv_li_tt,2001,7.3,29,Add a Plot
