name,url,year,rating,votes,plot
Chocobo Racing,https://www.imdb.com/title/tt0210611/?ref_=adv_li_tt,1999,7.1,47,"Chocobo and Mog go on a quest to discover the secrets of the Magicite Crystal, meeting and racing many characters along the way."
Chocobo's Dungeon 2,https://www.imdb.com/title/tt0429773/?ref_=adv_li_tt,1998,7.0,20,"Chocobo and Mob go out on a treasure hunt that uncovers much more than they imagined. Cid, Bahamut, and a cast of other FINAL FANTASY characters descend into a mysterious world filled with ... See full summary »"
Chopper Command,https://www.imdb.com/title/tt0294447/?ref_=adv_li_tt,1982,6.8,46,"A helicopter pilot your mission is to protect convoys of trucks from enemy fighter jets and helicopters, but make sure you don't get shot down."
Chromehounds,https://www.imdb.com/title/tt7028252/?ref_=adv_li_tt,2006,7.3,7,"In an alternate future, the cold war ends differently resulting in a 3rd world war. With the world in a continued war mentality - new walking tanks called 'Hounds' are created. Three ... See full summary »"
Chronicles of the Sword,https://www.imdb.com/title/tt6844990/?ref_=adv_li_tt,1996,0.0,0,Add a Plot
Chrono Cross,https://www.imdb.com/title/tt0241307/?ref_=adv_li_tt,1999,8.6,933,"For Serge, the truth is all too disturbing when he stumbles into another dimension, a dimension where he is long dead. Now the fate of two worlds hangs in the balance and Serge is the only hope."
Chrono Trigger,https://www.imdb.com/title/tt0210613/?ref_=adv_li_tt,1995,9.5,"3,007","Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999."
Circus Maximus: Chariot Wars,https://www.imdb.com/title/tt6998472/?ref_=adv_li_tt,2002,0.0,0,Add a Plot
Cities: Skylines,https://www.imdb.com/title/tt5462894/?ref_=adv_li_tt,2015,7.8,717,"Cities: Skylines engage the player in urban planning simulation games available by controlling zoning, taxation, public services, city's budget, population, health, employment, pollution, traffic flow and many other factors."
Clash of the Titans,https://www.imdb.com/title/tt1589998/?ref_=adv_li_tt,2010,5.5,117,"Hades has unleashed his minions and you must conquer all or be conquered, in this epic war of the gods. Relive the adventures of Perseus as you battle through a vast mythical underworld with over 100 different enemies."
ClayFighter 63 1/3,https://www.imdb.com/title/tt0219595/?ref_=adv_li_tt,1997,7.0,178,Add a Plot
Clock Tower,https://www.imdb.com/title/tt0395120/?ref_=adv_li_tt,1996,7.9,174,Get ready for terror as Scissorman is back to cause a bloody massacre that spread from Romsdaleen to Oslo.
Clock Tower 3,https://www.imdb.com/title/tt0363521/?ref_=adv_li_tt,2002,7.1,254,"A young British schoolgirl receives a letter from her mother, asking her to go into hiding until her birthday. After receiving an unsettling phone call, the girl returns home to London to ... See full summary »"
Clock Tower II: The Struggle Within,https://www.imdb.com/title/tt0428396/?ref_=adv_li_tt,1998,6.4,94,"Alyssa Hale is a teenager with a dual personality. Normally a quiet young lady with a gloomy personality, Alyssa has a dark side, a cruel and merciless man known as Mr. Bates who can ... See full summary »"
Close Combat: First to Fight,https://www.imdb.com/title/tt0478998/?ref_=adv_li_tt,2005,6.7,42,Take the role of a U.S. Marine Corps.
Clu Clu Land,https://www.imdb.com/title/tt0185993/?ref_=adv_li_tt,1984,5.4,49,Add a Plot
Code Lyoko,https://www.imdb.com/title/tt18286204/?ref_=adv_li_tt,2007,0.0,0,Add a Plot
Code Name: S.T.E.A.M.,https://www.imdb.com/title/tt3818776/?ref_=adv_li_tt,2015,6.5,31,A Nintendo 3DS game that combines turn-based strategy game and third person shooter. A comic book steampunk version of London gets attacked by an alien force. President Abraham Lincoln leads historic and literary characters against them.
Code of Princess,https://www.imdb.com/title/tt6405042/?ref_=adv_li_tt,2012,6.9,7,Add a Plot
Cold Fear,https://www.imdb.com/title/tt0462670/?ref_=adv_li_tt,2005,7.1,344,"A team from the Coast Guard boards a nameless Russian Whaler lost in a storm. Little do they know that a team of CIA operatives tried to do the same shortly before, all of them ending up ... See full summary »"
Cold War,https://www.imdb.com/title/tt0483589/?ref_=adv_li_tt,2005,6.2,27,Add a Plot
Cold Winter,https://www.imdb.com/title/tt0470265/?ref_=adv_li_tt,2005,7.6,94,"Andrew Sterling is an MI6 agent captured while spying in China. After weeks of torture, MI6 abandons Andrew and he is rescued by a woman named Kim and his old friend Danny Parish. To repay ... See full summary »"
Colin McRae Rally 3,https://www.imdb.com/title/tt0406663/?ref_=adv_li_tt,2002,7.3,117,Live the life of a rally driver and prove your skills around the world in this exciting new installment in Colin McRae Rally series.
Colony Wars,https://www.imdb.com/title/tt3553038/?ref_=adv_li_tt,1997,7.7,19,"The Earth is fully stripped of natural resources by the fifth millennium. As a result, the Earth Empire sends out expeditionary sleeper ships to distant planets found to have abundant ... See full summary »"
Colony Wars: Vengeance,https://www.imdb.com/title/tt6888944/?ref_=adv_li_tt,1998,8.2,6,"Set in 4671, a century after the events of Colony Wars. In the canonical ending, the League of Free Worlds successfully fights the Earth Empire's Colonial Navy into a last stand in the Sol ... See full summary »"
Command & Conquer 3: Kane's Wrath,https://www.imdb.com/title/tt1114713/?ref_=adv_li_tt,2008,7.7,612,"Around the seemingly immortal leader of the Brotherhood of Nod, Kane, and recounts his ascent to power after narrowly escaping death in the year 2031, ending with Kane re-acquiring the Tacitus artifact from Tiberian Sun, in the year 2052."
Command & Conquer 3: Tiberium Wars,https://www.imdb.com/title/tt0848263/?ref_=adv_li_tt,2007,8.1,"2,071",You are in command of the armies of either GDI or NOD with the fate of Earth in the balance.
Command & Conquer: Red Alert,https://www.imdb.com/title/tt0115141/?ref_=adv_li_tt,1996,8.5,"2,367","In an alternative Earth, where Hitler was eliminated from history, you play either side of a new war of the Soviet Union vs. the Allies."
Command & Conquer: Red Alert 2,https://www.imdb.com/title/tt0252338/?ref_=adv_li_tt,2000,8.6,"2,979",You play either side of a new Allied/Soviet war when the real villian is an evil master of mind control.
Command & Conquer: Red Alert 3,https://www.imdb.com/title/tt1198194/?ref_=adv_li_tt,2008,7.5,"2,066","As the Soviet Union was beginning to face defeat by the powers of the western world, General Krukov and Colonel Cherdenko with Dr. Zelinski make a last ditch effort to save the Union by using Zelinski's latest invention, a time machine."
Command & Conquer: Tiberian Sun,https://www.imdb.com/title/tt0165985/?ref_=adv_li_tt,1999,7.8,"1,665","Set in 2030, 30 years after the GDI had won the First Tiberium War in Command & Conquer (1995), following the second major war between the GDI of the United Nations, and the global terrorist organization known as the Brotherhood of Nod."
Commandos 3: Destination Berlin,https://www.imdb.com/title/tt0384003/?ref_=adv_li_tt,2003,7.5,226,"The commandos team continue their campaign of Europe. They face the might of the Third Reich in Normandy, central Europe, Stalingrad and Berlin."
Company of Heroes,https://www.imdb.com/title/tt0884044/?ref_=adv_li_tt,2006,8.5,820,This game tells the stories of the American army in WWII fighting the Germans in Normandy.
Company of Heroes 2,https://www.imdb.com/title/tt2652758/?ref_=adv_li_tt,2013,6.5,307,As in the first Comapany oh Heroes from the Americans in WWII. This will continue the dramatic plot of a brave team of Soviet Union soldiers will defend the Motherland at any cost from the Germans.
Company of Heroes: Opposing Fronts,https://www.imdb.com/title/tt1179762/?ref_=adv_li_tt,2007,8.6,233,"Opposing Fronts is the next chapter and expansion pack for Company of Heroes (2006). Players can now take command of the German Panzer Elite, or lead the British 2nd Army in their struggle to liberate the city of Caen."
Conan,https://www.imdb.com/title/tt1132146/?ref_=adv_li_tt,2007,7.1,224,Play as Conan and kill your enemies.
Condemned 2: Bloodshot,https://www.imdb.com/title/tt1201565/?ref_=adv_li_tt,2008,7.7,676,"Ethan Thomas, a former Serial Crimes Unit investigator, is brought back into action to hunt down the killer of his former partner and uncover the disturbing secrets behind an increasingly dark and violent city."
Condemned: Criminal Origins,https://www.imdb.com/title/tt0496608/?ref_=adv_li_tt,2005,8.1,"1,399","FBI Agent Ethan Thomas is framed for the murder of a detective and officer. In order to uncover who murdered the two officers with his gun, he has to do whatever it takes and fight his way through violent, psychotic individuals."
Conduit 2,https://www.imdb.com/title/tt2117983/?ref_=adv_li_tt,2011,6.7,17,Add a Plot
Conflict: Denied Ops,https://www.imdb.com/title/tt11578582/?ref_=adv_li_tt,2008,4.8,17,"General Ramírez plans out to take over Venezuela but the US government sent CIA agents, Lincoln Graves and Reggie Lang to track him down after he sent troops to seize the Petro Nivera oil refinery and prepared to deploy nuclear weapons."
Conflict: Desert Storm,https://www.imdb.com/title/tt1064859/?ref_=adv_li_tt,2002,7.5,148,"The game takes control of a four-man squad of special forces soldiers where each soldier in the squad has a unique specialty, such as demolitions, sniper rifles, machine guns, and assault rifles."
Conflict: Vietnam,https://www.imdb.com/title/tt0424001/?ref_=adv_li_tt,2004,7.5,101,"It follows four US soldiers, Ragman, Junior, Hoss and Cherry who are cut off from their unit during the 1968 Tet Offensive and survive in the hostile Vietnam jungle against a ruthless enemy."
Conker's Bad Fur Day,https://www.imdb.com/title/tt0279742/?ref_=adv_li_tt,2001,8.8,"1,368","The vulgar adventures and exploits of a squirrel with a hangover, just trying to get back home while being forced to save the world."
Constantine,https://www.imdb.com/title/tt0462672/?ref_=adv_li_tt,2005,7.3,338,John Constantine must fight demons and monsters from the underworld.
Contact,https://www.imdb.com/title/tt2121780/?ref_=adv_li_tt,2006,0.0,0,"A professor in a search for intelligent life makes contact...with you. Communicating with him through the Nintendo DS, he asks for your help. He and his assistant, Terry, have crash-landed ... See full summary »"
Contra 4,https://www.imdb.com/title/tt5792266/?ref_=adv_li_tt,2007,7.0,26,"The year is 2638, two years after the Alien Wars had come to a close. The Red Falcon threat had been neutralized, and Earth is once again in peace. However, a similar alien called Black ... See full summary »"
Contra III: The Alien Wars,https://www.imdb.com/title/tt0263231/?ref_=adv_li_tt,1992,7.7,342,"The year is 2636. Red Falcon has now declared an all-out war on humanity. Bill ""Mad Dog"" Rizer and his partner Lance ""Scorpion"" Bean must now battle Red Falcon once again and drive the aliens off the face of the Earth."
Contra: Legacy of War,https://www.imdb.com/title/tt0281742/?ref_=adv_li_tt,1996,5.4,34,"A dictator named Colonel Bassad has become a threat by assembling an army of soldiers, robots, and aliens. He has allied himself with an unknown alien in order to achieve world domination. ... See full summary »"
Contra: Shattered Soldier,https://www.imdb.com/title/tt0363534/?ref_=adv_li_tt,2002,7.2,40,"In 2642, Earth remains scarred from alien conflicts and 80% of the world's population was devastated by a malfunctioning hyper-magnetic weapons grid during development. Bill Rizer, the hero... See full summary »"
Contrast,https://www.imdb.com/title/tt3358942/?ref_=adv_li_tt,2013,6.7,178,"Contrast is an action game with platforming elements which focuses on light and shadow. It is set in a noir world based on the 1920s and the protagonist is Didi, a girl of nine years. She ... See full summary »"
Cooking Mama,https://www.imdb.com/title/tt7588602/?ref_=adv_li_tt,2006,6.5,35,Cooking Mama is a video game in which you can create over 60 food dishes based on a variety of recipes.
Cooking Mama: Cook Off,https://www.imdb.com/title/tt7589518/?ref_=adv_li_tt,2007,6.1,13,The second game in the series in which you must create dishes from around the world under the tutelage of the eponymous Cooking Mama.
Cooking Mama: World Kitchen,https://www.imdb.com/title/tt7589522/?ref_=adv_li_tt,2008,0.0,0,The fourth game in the Cooking Mama series sees you creating even more digital dishes alongside Mama herself.
Coraline,https://www.imdb.com/title/tt1401106/?ref_=adv_li_tt,2009,7.6,"1,747","A little girl finds a hidden door in her house and magically finds her dream life come true, but doesn't realize the horrors that her 'dream life' had hidden from her."
Corvette,https://www.imdb.com/title/tt2022360/?ref_=adv_li_tt,2003,6.6,15,Race all different years of Corvettes against each other.
Countdown Vampires,https://www.imdb.com/title/tt0457314/?ref_=adv_li_tt,1999,5.8,29,Action survival horror PS1 game about homicide detective Keith J. Snyder who must escape a new horror-themed casino after everyone there suddenly turn into vampires.
Counter-Strike: Source,https://www.imdb.com/title/tt7795464/?ref_=adv_li_tt,2004,7.8,738,"Remake of Half-Life: Counter-Strike (2000), developed using the Source engine."
Covert Ops: Nuclear Dawn,https://www.imdb.com/title/tt0271442/?ref_=adv_li_tt,2000,8.2,28,"The player controls Lieutenant Jack Morton of NATO, the sole survivor of a terrorist strike on the Blue Harvest, an armored train. He is aided by Christina Wayborn throughout the game, the ... See full summary »"
Crackdown,https://www.imdb.com/title/tt0995064/?ref_=adv_li_tt,2007,7.5,665,"Set in a futuristic city, it is up to the agent to help clean it up and keep this city free from crime."
Crackdown 2,https://www.imdb.com/title/tt1772792/?ref_=adv_li_tt,2010,6.3,261,"Ten years after the events of Crackdown (2007), Pacific City is in ruins and overrun by mutant freaks."
Crash Bandicoot,https://www.imdb.com/title/tt0295914/?ref_=adv_li_tt,1996,8.2,"3,178",Crash Bandicoot is on a quest to rescue his girlfriend from the evil Dr. Neo Cortex.
Crash Bandicoot 2: Cortex Strikes Back,https://www.imdb.com/title/tt0181421/?ref_=adv_li_tt,1997,8.5,"2,367",Crash Bandicoot is on an adventure to collect crystals and help Dr. Neo Cortex save the world.
Crash Bandicoot 2: N-Tranced,https://www.imdb.com/title/tt0838157/?ref_=adv_li_tt,2003,7.7,165,Crash Bandicoot try to rescues his friends from the hypnosis of the main antagonist Doctor Nefarious Tropy and his ally N. Trance.
Crash Bandicoot: The Huge Adventure,https://www.imdb.com/title/tt0845978/?ref_=adv_li_tt,2002,7.4,153,Crash and the gang must stop Cortex from shrinking the world in this portable adventure.
Crash Bandicoot: The Wrath of Cortex,https://www.imdb.com/title/tt0328970/?ref_=adv_li_tt,2001,7.6,"1,502",Crash Bandicoot must gather ancient crystals to stop the destructive nature of a group of renegade masks known as the Elementals.
Crash Bash,https://www.imdb.com/title/tt0838158/?ref_=adv_li_tt,2000,7.6,"1,042",Aku Aku and Uka Uka want to determine which one of them is better. Since they cannot fight each other they instead create a contest of minigames to decide whether good or evil is the strongest.
Crash Boom Bang!,https://www.imdb.com/title/tt14220810/?ref_=adv_li_tt,2006,3.1,14,"Roll the dice and dive into one of the 40 multiplayer action-oriented mini-games, Crash Bandicoot style."
Crash Nitro Kart,https://www.imdb.com/title/tt0397993/?ref_=adv_li_tt,2003,7.1,492,"The Bandicoots, Cortex, and his minions have been transported to a strange alien planet by the ruler, Emperor Velo the 27th. To get back home, they will have to race across the galaxy, battling champions and race Velo himself."
Crash Tag Team Racing,https://www.imdb.com/title/tt0492452/?ref_=adv_li_tt,2005,7.3,677,Crash must recover an amusement park's stolen Power Gems in order to earn its ownership.
Crash Team Racing,https://www.imdb.com/title/tt0260831/?ref_=adv_li_tt,1999,8.6,"1,948","In the fourth installment of the Crash Bandicoot series, an evil alien called Nitros Oxide challenges Crash, his friends, and even his enemies to a racing competition to see who is the fastest in the Universe."
Crash of the Titans,https://www.imdb.com/title/tt1080916/?ref_=adv_li_tt,2007,6.5,552,Crash must stop Doctor Neo Cortex from using magical mojo to turn his island's inhabitants into monstrous Titans.
Crash: Mind Over Mutant,https://www.imdb.com/title/tt1282033/?ref_=adv_li_tt,2008,6.4,318,"In Crash: Mind over Mutant, a rejuvenated Neo Cortex is taking over the world one brain at a time."
Crazy Taxi 2,https://www.imdb.com/title/tt0379750/?ref_=adv_li_tt,2001,7.0,108,It's your job to get your customers to their destination by any means necessary.
Crazy Taxi 3: High Roller,https://www.imdb.com/title/tt0384012/?ref_=adv_li_tt,2002,6.6,82,"The yellow cab is back on the streets of America. The game lets you get behind the wheel with one of four new characters, each with his or her own trademark attitude and new set of wheels."
Crime Killer,https://www.imdb.com/title/tt7072392/?ref_=adv_li_tt,1998,0.0,0,"In the near future, the streets will be taken over by criminals. The URIEL consortium buys the police department and gives the PD three new patrol vehicles: the turbo patrol car, the bike, ... See full summary »"
Crime Life: Gang Wars,https://www.imdb.com/title/tt10982590/?ref_=adv_li_tt,2005,0.0,0,Play as Tre in Grand Central City and protect your gang from other outlaws.
Criminal Girls: Invite Only,https://www.imdb.com/title/tt5740798/?ref_=adv_li_tt,2010,0.0,0,"In Criminal Girls: Infite Only, the player takes the role of a prison warden in Hell who has been assigned to a group of seven girls. Although these seven have all been damned to Hell for ... See full summary »"
Crimson Sea,https://www.imdb.com/title/tt0371615/?ref_=adv_li_tt,2002,6.0,16,Add a Plot
Crimson Skies: High Road to Revenge,https://www.imdb.com/title/tt0386395/?ref_=adv_li_tt,2003,7.6,114,Set in a world that travels in the skies rather than cars Nathan Zachary goes on an epic journey to revenge a fallen friend and discover the secrets to a masterminds deadly invention
Crimson Tears,https://www.imdb.com/title/tt0420563/?ref_=adv_li_tt,2004,7.5,14,The year is 2049. Tokyo suddenly became a world of labyrinth. The super weapons manufacturer A.R.M.A. has gone out of control when the accident caused the distortions in the planet's ... See full summary »
Crisis Core: Final Fantasy VII,https://www.imdb.com/title/tt0483593/?ref_=adv_li_tt,2007,8.5,"1,291","Taking place around the events of Nibelheim outlined in Last Order: Final Fantasy VII (2005), Crisis Core focuses on Zack Fair, a member of the paramilitary organization SOLDIER, who is assigned to look for the missing soldier Genesis Rhapsodos."
Critical Depth,https://www.imdb.com/title/tt5151766/?ref_=adv_li_tt,1997,0.0,0,"Critical Depth is a vehicular combat game made for the PlayStation, developed by the game studio SingleTrac and published by GT Interactive."
Croc 2,https://www.imdb.com/title/tt0482488/?ref_=adv_li_tt,1999,7.1,119,This lastest installment of Croc's adventures follows out hero through his awkward and heart warming adolescent years
Croc: Legend of the Gobbos,https://www.imdb.com/title/tt0290544/?ref_=adv_li_tt,1997,7.1,276,"Rufus, King of the Gobbos, watches a baby crocodile float downriver. This crocodile, Croc, is raised by the Gobbos and becomes one of their own. Now that Croc has grown, he must return to Gobbo Valley to protect them from the Dantinis."
Cross Edge,https://www.imdb.com/title/tt5651340/?ref_=adv_li_tt,2008,0.0,0,"The game features turn-based battles, a plot that involves rescuing souls, and the ability to dress the female characters of the player's party in a wide variety of outfits."
"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0795363/?ref_=adv_li_tt,2003,8.0,"1,436","Control Lu Mu Bi, Shu Lien, Jen, and Dark Cloud as you take part in the story of the film Crouching Tiger, Hidden Dragon. This time however, your actions decide the final ending."
Cruis'n,https://www.imdb.com/title/tt5996194/?ref_=adv_li_tt,2007,4.0,16,Add a Plot
Crusaders of Might and Magic,https://www.imdb.com/title/tt0479007/?ref_=adv_li_tt,1999,5.9,39,"A young boy named Drake, the only survivor of the massacre, escapes into the forests of Duskwood and roams Ardon for years, seeking revenge against the undead. During an attack on his camp ... See full summary »"
Crysis,https://www.imdb.com/title/tt0954921/?ref_=adv_li_tt,2007,8.3,"5,370","Sent in to investigate an alien meteor crash, Nomad must fight through the North Korean Army which has also arrived, only to discover North Korea is the least of their worries."
Crysis 2,https://www.imdb.com/title/tt1684551/?ref_=adv_li_tt,2011,7.8,"5,028","Set 3 years after the original game. Fight the aliens, following the protagonist in a new type of jungle; New York, the urban jungle."
Crysis 3,https://www.imdb.com/title/tt2374911/?ref_=adv_li_tt,2013,7.4,"2,861",Prophet is forced to save New York City from CELL after the alien invasion in Crysis 2 (2011).
Crystal Castles,https://www.imdb.com/title/tt0346808/?ref_=adv_li_tt,1983,7.0,53,"Bentley Bear gathers gems found along the paths of many three-quarters-view castles. Wear the magic hat to kill the witch, Berthilda, and eliminate the gem eaters while they are eating. Secret warps take you to higher levels."
Cubic Ninja,https://www.imdb.com/title/tt2137057/?ref_=adv_li_tt,2011,0.0,0,Add a Plot
Cubivore: Survival of the Fittest,https://www.imdb.com/title/tt0493345/?ref_=adv_li_tt,2002,8.1,23,"As a cube-shaped animal in a simplistic-looking world, fight, devour and mate your way to the top of the food chain and claim the title of ""Animal Leader""."
Culdcept,https://www.imdb.com/title/tt9649424/?ref_=adv_li_tt,2012,0.0,0,Add a Plot
Culdcept Revolt,https://www.imdb.com/title/tt5523336/?ref_=adv_li_tt,2016,0.0,0,Add a Plot
Curious George,https://www.imdb.com/title/tt0497349/?ref_=adv_li_tt,2006,6.9,34,A video-game adaptation of the popular 'Curious George' children's books.
Cursed Mountain,https://www.imdb.com/title/tt1531058/?ref_=adv_li_tt,2009,6.9,44,"When Eric Simmons' brother, Frank, goes missing after being hired to climb a sacred mountain he must make the trek himself to find him. However, the journey will prove far more dangerous ... See full summary »"
Custom Robo Arena,https://www.imdb.com/title/tt9216824/?ref_=adv_li_tt,2006,7.3,7,Add a Plot
Custom Robo V2,https://www.imdb.com/title/tt8705254/?ref_=adv_li_tt,2000,0.0,0,Add a Plot
Cy Girls,https://www.imdb.com/title/tt0412605/?ref_=adv_li_tt,2004,7.7,20,"As either of the two girls Ice or Aska, you go through 8 Stages with mission objectives involving stealth, puzzle solving and unraveling the mysteries of various important things. Also, Ice... See full summary »"
Cyber Troopers Virtual-On Marz,https://www.imdb.com/title/tt0401373/?ref_=adv_li_tt,2003,6.2,17,Add a Plot
D,https://www.imdb.com/title/tt0462243/?ref_=adv_li_tt,1995,7.7,49,"Taking place in 1997, Laura Harris investigate a hospital after learning her father went on a mass murdering spree and barricaded himself inside. The hospital morphs into a castle upon her ... See full summary »"
DC Universe Online,https://www.imdb.com/title/tt1327585/?ref_=adv_li_tt,2011,7.4,730,"Lex Luthor travels back in time from a desolate future where Braniac has killed off all the superheroes and taken over the world, to ally with heroes of present day to form a plan to stop him by using the Exobyte data."
DK: King of Swing,https://www.imdb.com/title/tt3414760/?ref_=adv_li_tt,2005,6.6,19,"King K. Rool stole the special medallion meant for the winner of a big race, So Donkey Kong and his friends must swing their way through the jungle to get the medallion back."
Damnation,https://www.imdb.com/title/tt1489161/?ref_=adv_li_tt,2009,4.6,55,"Damnation centers around a group of freedom fighters led by a Hamilton Rourke in a desperate attempt to protect a war torn, heavily industrialized America from an arms merchant and his unstoppable army."
Dance Central 3,https://www.imdb.com/title/tt2408232/?ref_=adv_li_tt,2012,7.8,42,Dance your way through time to prevent dance crimes and to gather all of the crews as you progress to the most intense and long dance fight in the game! WARNING: Don't be afraid to take breaks as this story mode can go continuously!
Dance Dance Revolution: Disney Grooves,https://www.imdb.com/title/tt1887714/?ref_=adv_li_tt,2009,0.0,0,Add a Plot
Dance Paradise,https://www.imdb.com/title/tt1981623/?ref_=adv_li_tt,2010,3.2,7,Add a Plot
Danganronpa 2: Goodbye Despair,https://www.imdb.com/title/tt6155214/?ref_=adv_li_tt,2012,8.6,699,"16 students from the famous Hope's Peak Academy are forced to live on an island, or kill each other in order to escape."
Danganronpa Another Episode: Ultra Despair Girls,https://www.imdb.com/title/tt4229138/?ref_=adv_li_tt,2014,6.5,284,Komaru Naegi and Toko Fukawa fight a group of kids who are trying to kill as many adults as possible in order to create their Children's Paradise.
Danny Phantom: The Ultimate Enemy,https://www.imdb.com/title/tt8709710/?ref_=adv_li_tt,2005,8.2,23,Clockwork wants to turn Danny Fenton into the future's evil Dan Phantom by destroying everything and everyone he cares about. Danny will have to learn new powers in order to save his ... See full summary »
Danny Phantom: Urban Jungle,https://www.imdb.com/title/tt2739698/?ref_=adv_li_tt,2006,7.9,13,Add a Plot
Dante's Inferno,https://www.imdb.com/title/tt1409575/?ref_=adv_li_tt,2010,7.7,"1,704",A man must travel the nine circles of hell to save his beloved wife and repent for his own sins.
Dark Angel: Vampire Apocalypse,https://www.imdb.com/title/tt2089656/?ref_=adv_li_tt,2001,0.0,0,Play as Anna where you have to protect a mysterious village against vampires and other evil monsters.
Dark Arena,https://www.imdb.com/title/tt0927596/?ref_=adv_li_tt,2002,0.0,0,Add a Plot
Dark Cloud,https://www.imdb.com/title/tt0291844/?ref_=adv_li_tt,2000,7.5,210,"When a corrupt general unleashes a mystical genie that destroys a planet, a magical fairy scatters its spheres across the world to preserve its elements from the chaos. In the aftermath, a young boy must retrieve the spheres."
Dark Cloud 2,https://www.imdb.com/title/tt0363546/?ref_=adv_li_tt,2002,8.4,281,Max receives a mysterious red stone and learns that the rest of the world has been wiped out by a creature named Griffon who's looking for the stone. With the help of a girl from the future... See full summary »
Dark Rift,https://www.imdb.com/title/tt5451756/?ref_=adv_li_tt,1997,5.5,16,Add a Plot
Dark Sector,https://www.imdb.com/title/tt1230530/?ref_=adv_li_tt,2008,7.0,351,"Hayden Tenno, a covert CIA operative, has been sent into the dark city of Lasria to perform a simple clean-up job, but is unknowingly thrust into a deceptive world where an unknown enemy is always close."
Dark Souls,https://www.imdb.com/title/tt2015348/?ref_=adv_li_tt,2011,9.1,"4,770","After narrowly escaping a doomed fate in an asylum, an undead warrior fights his way through the desolate remains of Lordran, once a sprawling utopia lead by the gods, to seek his purpose and fulfill a centuries old prophecy."
Dark Souls II,https://www.imdb.com/title/tt2794338/?ref_=adv_li_tt,2014,8.1,"3,130","A cursed warrior travels to Drangleic, the forgotten land of a once-great king, hoping to find a cure before going insane."
Dark Souls III,https://www.imdb.com/title/tt4795016/?ref_=adv_li_tt,2016,9.1,"4,383","The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones."
Dark Summit,https://www.imdb.com/title/tt5740120/?ref_=adv_li_tt,2001,6.1,13,"The military has mysteriously closed the summit of Mount Garrick, and the evil Chief O'Leary is trying desperately to drive boarders off the mountain. Gamers must uncover the mystery and expose the conspiracy shrouded at the summit."
Dark Void,https://www.imdb.com/title/tt1447952/?ref_=adv_li_tt,2010,5.9,158,"(Story) After being pulled into the Bermuda Triangle,pilots Will & Ava end up in an unknown & mysterious parallel world known as ""The Void"". While trying to find a way out,they encounter a ... See full summary »"
DarkStar One,https://www.imdb.com/title/tt9741214/?ref_=adv_li_tt,2006,6.2,6,Add a Plot
Darkened Skye,https://www.imdb.com/title/tt0368670/?ref_=adv_li_tt,2002,7.7,25,"Action adventure game set in a fantasy world inspired by Skittles, a popular brand of real life candy. Young warrior-shepherdess Skye must use the power of magical gems knows as Skittles to defeat Necroth, the lord of darkness."
Darkest of Days,https://www.imdb.com/title/tt1427679/?ref_=adv_li_tt,2009,7.0,57,"In Darkest of Days, players travel back and forth through the annals time to relive some mankind's most dire hours, when human society was at its lowest points. By fighting through terrible... See full summary »"
Darklight Conflict,https://www.imdb.com/title/tt6536180/?ref_=adv_li_tt,1997,0.0,0,Add a Plot
Darksiders,https://www.imdb.com/title/tt1585560/?ref_=adv_li_tt,2010,7.8,"2,308","Originally sent to oversee the destruction of Earth, the Four Horsemen of the Apocalypse have been betrayed by their master, stripped of their powers and cast down to Earth. The Four Horsemen embark on a quest of vengeance."
Darksiders II,https://www.imdb.com/title/tt2225786/?ref_=adv_li_tt,2012,7.8,"1,797",Death is one of the four horsemen. He embarks on a journey to get back his brother War. On his way he finds various weapons from his other brothers.
Darkspore,https://www.imdb.com/title/tt3710896/?ref_=adv_li_tt,2011,4.9,11,Add a Plot
Darkstalkers Chronicle: The Chaos Tower,https://www.imdb.com/title/tt0496499/?ref_=adv_li_tt,2004,8.3,34,Add a Plot
Darkstalkers Resurrection,https://www.imdb.com/title/tt4723822/?ref_=adv_li_tt,2013,6.8,35,Remastered version of 'Night Warriors: Darkstalkers' Revenge' and 'Darkstalkers III'.
Dave Mirra Freestyle BMX 2,https://www.imdb.com/title/tt0287402/?ref_=adv_li_tt,2001,7.4,51,Add a Plot
Dave Mirra Freestyle BMX: Maximum Remix,https://www.imdb.com/title/tt0287403/?ref_=adv_li_tt,2001,6.9,12,Add a Plot
Dawn of Mana,https://www.imdb.com/title/tt1068777/?ref_=adv_li_tt,2006,7.2,40,Add a Plot
Daxter,https://www.imdb.com/title/tt0790638/?ref_=adv_li_tt,2006,7.7,391,Follows Daxter on how he became a hero and freed Jak at the beginning of Jak II (2003).
Dead Head Fred,https://www.imdb.com/title/tt1113723/?ref_=adv_li_tt,2007,8.1,63,"After being killed by the mob private detective Fred Neuman is brought back from the dead. The only missing piece his head. Now a brain and pair of eyeballs in a jar, Fred has to track down... See full summary »"
Dead Island,https://www.imdb.com/title/tt1845786/?ref_=adv_li_tt,2011,7.2,"4,239","When a mysterious outbreak claims the island of Banoi, four individuals who find themselves immune must use that power to protect the remaining survivors, uncover the truth, and escape."
