name,url,year,rating,votes,plot,Key
Dragon's Lair,https://www.imdb.com/title/tt0125065/?ref_=adv_li_tt,1983,7.5,621,"A valiant knight, Dirk the Daring is on a quest to rescue the fair princess from the clutches of an evil dragon.",tt0125065
Dragon's Lair II: Timewarp,https://www.imdb.com/title/tt0125066/?ref_=adv_li_tt,1991,7.4,217,The evil wizard Mordroc has kidnapped princess Daphne to marry her. Dirk the Daring will have to use a magical time machine to free Daphne again.,tt0125066
Star Trek: Starfleet Academy,https://www.imdb.com/title/tt0125516/?ref_=adv_li_tt,1997,7.6,231,"FMV space combat simulator, where you play a cadet training to become a Starfleet officer at the Academy and have adventures there in addition to your training.",tt0125516
Blade Runner,https://www.imdb.com/title/tt0126817/?ref_=adv_li_tt,1997,8.9,"1,918","You play a blade runner investigating a series of violent replicant crimes, only to discover far more than you bargained for.",tt0126817
Riven: The Sequel to Myst,https://www.imdb.com/title/tt0129342/?ref_=adv_li_tt,1997,8.7,505,"After the events of Myst (1993), the Stranger travels to Riven to help Atrus by rescuing his wife Catherine, trapping his father Gehn and saving the Rivenese before their world collapses.",tt0129342
Star Trek: The Next Generation - A Final Unity,https://www.imdb.com/title/tt0131029/?ref_=adv_li_tt,1995,8.2,301,"Captain Jean-Luc Picard of the U.S.S. Enterprise NCC-1701-D agrees to help Garidian dissidents locate a mythical scroll that might convince their government to give rights to slaves. The search takes them to Unity, a strange ancient alien device.",tt0131029
Burn: Cycle,https://www.imdb.com/title/tt0131332/?ref_=adv_li_tt,1994,7.9,55,Data thief Sol Cutter has been infected with the Burn Cycle virus that will kill him in two hours. He must find out why the data he stole from Softech are worth killing over. The player must beat the game in two hours to win.,tt0131332
Lands of Lore: The Throne of Chaos,https://www.imdb.com/title/tt0131459/?ref_=adv_li_tt,1994,8.6,126,"Scotia, the evil sorceress, has found after many years of search the Stone of Truth whose powers will make her the ruler of the whole world if you, as the bravest warrior in your kingdom, can't stop her.",tt0131459
Phantasmagoria,https://www.imdb.com/title/tt0131537/?ref_=adv_li_tt,1995,8.2,711,"A young successful author and her photographer husband buy a stunning and mysterious mansion on the outskirts of a small town in New England, but soon enough start to experience maddening horrors of its previous owner.",tt0131537
Zork: Grand Inquisitor,https://www.imdb.com/title/tt0132641/?ref_=adv_li_tt,1997,7.9,129,"The player is ""AFGNCAAP"", a salesperson for the Frobozz Electric Company sent to the underground kingdom of Zork that's currently under the tyrannical rule of Grand Inquisitor, Mir Yannick, who has banned all magic.",tt0132641
