name,url,year,rating,votes,plot,Key
Color a Dinosaur,https://www.imdb.com/title/tt0485619/?ref_=adv_li_tt,1993,2.8,9,Add a Plot,tt0485619
Peter Pan: A Story Painting Adventure,https://www.imdb.com/title/tt0485691/?ref_=adv_li_tt,1993,7.9,9,Add a Plot,tt0485691
Robin Hood: Defender of the Crown,https://www.imdb.com/title/tt0485710/?ref_=adv_li_tt,2003,6.5,33,Add a Plot,tt0485710
Blinx: The Time Sweeper,https://www.imdb.com/title/tt0485869/?ref_=adv_li_tt,2002,7.1,136,"When the princess of world B1Q64 is kidnapped by the vile Tom-Tom gang, a time janitor named Blinx must go and rescue her, along with the entire dimension. Which could collapse at any moment.",tt0485869
Chuck Rock,https://www.imdb.com/title/tt0485878/?ref_=adv_li_tt,1992,6.3,42,Prehistoric platforming adventure in which you play a cave-man out to rescue his wife.,tt0485878
Mobile Suit Gundam: Gundam vs. Zeta Gundam,https://www.imdb.com/title/tt0485923/?ref_=adv_li_tt,2004,8.0,29,Mobile Suit Gundam: Gundam vs. Zeta Gundam (Kidou Senshi Gundam: Gundam vs. Z Gundam in Japan) is a PS2 and GameCube arcade third-person shooter. It was released on the PlayStation 2 in the... See full summary »,tt0485923
Pinobee,https://www.imdb.com/title/tt0485962/?ref_=adv_li_tt,2001,0.0,0,A robotic bee goes on a quest to rescue his kidnapped creator.,tt0485962
Power Rangers S.P.D.,https://www.imdb.com/title/tt0485972/?ref_=adv_li_tt,2005,7.3,47,"The Earth is once again in danger! Become part of ""Power Rangers: Space Patrol Delta,"" the new elite warrior unit, and fight to save the world from evil alien invaders!",tt0485972
Radiata Stories,https://www.imdb.com/title/tt0485982/?ref_=adv_li_tt,2005,8.6,78,"Jack Russell, a 16 year-old boy, wants to become a knight just like his late father, Cairn. On the day that Radiata Castle are trying to recruit the people who wants to become the Radiata ... See full summary »",tt0485982
Sengoku basara,https://www.imdb.com/title/tt0485998/?ref_=adv_li_tt,2005,8.0,33,"It's the Sengoku Jidai era in Feudal Japan. Warlords from all over have risen to take up the cause of unifying the island nation under one flag. Some for peace, others for personal gain. ... See full summary »",tt0485998
Smuggler's Run: Warzones,https://www.imdb.com/title/tt0486010/?ref_=adv_li_tt,2002,6.3,18,The game takes place in three locations with the player working for a small smuggling company named Exotic Imports (EI or EXO for short). The story focuses on the activities and objectives ... See full summary »,tt0486010
Toontown Online,https://www.imdb.com/title/tt0486031/?ref_=adv_li_tt,2003,8.4,94,Toontown is a happy place where Toons live and play. But there's trouble in Toontown! Evil ongoing menace robots known as Cogs dressed in business suits who are trying to transform the ... See full summary »,tt0486031
The Warriors,https://www.imdb.com/title/tt0486048/?ref_=adv_li_tt,2005,8.9,"1,886","The Warriors, a gang from Coney Island, go to a gang leader's meeting, when suddenly the gang leader is shot and killed. Framed for this murder, they must travel all the way back to Coney with 60,000 gang members standing in their way.",tt0486048
X-Men: Mutant Wars,https://www.imdb.com/title/tt0486053/?ref_=adv_li_tt,2000,6.3,22,A band of cyborgs is terrorizing the planet and the X-Men believes Magneto is behind this and will do anything to stop him.,tt0486053
X3: Reunion,https://www.imdb.com/title/tt0486054/?ref_=adv_li_tt,2005,8.1,48,Add a Plot,tt0486054
Yoshi's Universal Gravitation,https://www.imdb.com/title/tt0486057/?ref_=adv_li_tt,2004,6.3,36,"When Bowser starts wreaking havoc on Yoshi's Island, a book spirit named Hongo traps the entire island within the pages of a storybook. Only by locking Bowser away Yoshi can convince Hongo ... See full summary »",tt0486057
The Hell in the Pacific,https://www.imdb.com/title/tt0486337/?ref_=adv_li_tt,2003,0.0,0,"The Modding Theater's: ""Hell -in- The Pacific"" is a Pacific-Theater Total Conversion WW2 modification for the Medal Of Honor Allied Assault series that whisk players far into the eerie ... See full summary »",tt0486337
Boogerman: A Pick and Flick Adventure,https://www.imdb.com/title/tt0486558/?ref_=adv_li_tt,1994,7.0,63,"One dark and stormy evening, the civic-minded Professor Stinkbaum was working in his lab where he was secretly building a machine that would save the world from pollution by transporting it... See full summary »",tt0486558
Custom Robo: Battle Revolution,https://www.imdb.com/title/tt0486564/?ref_=adv_li_tt,2004,7.4,29,"The world was attacked by a powerful entity known as Rahu and the main character ""hero"" who become a Robo Commander to honor his father's wishes must defeats Rahu to ensuring the world's safety.",tt0486564
Frantix,https://www.imdb.com/title/tt0486581/?ref_=adv_li_tt,2005,0.0,0,Add a Plot,tt0486581
Fur Fighters: Viggo's Revenge,https://www.imdb.com/title/tt0486586/?ref_=adv_li_tt,2001,7.8,43,"The sinister white cat, General Viggo steals the Fur Fighters families and scatters them all over five worlds. The Fur Fighters must work together to save their families and beat General Viggo once and for all.",tt0486586
GripShift,https://www.imdb.com/title/tt0486590/?ref_=adv_li_tt,2005,7.5,8,Add a Plot,tt0486590
Heavy Metal F.A.K.K.2,https://www.imdb.com/title/tt0486593/?ref_=adv_li_tt,2000,7.5,103,"A sequel to Heavy Metal 2000 (2000), that once again features Julie Strain as the busty heroine who must now save her pastoral new homeplanet from a demonic cyborg-god, who looks like a metal skull, and his cyborg armies.",tt0486593
Hinter Gittern - Der Frauenknast,https://www.imdb.com/title/tt0486594/?ref_=adv_li_tt,2004,6.3,12,Add a Plot,tt0486594
Ikari III: The Rescue,https://www.imdb.com/title/tt0486600/?ref_=adv_li_tt,1989,6.3,30,"Two tough guys, Paul and Vince, fight their way through several stages of action to rescue a VIP, but mostly punching and kicking this time.",tt0486600
Incantation,https://www.imdb.com/title/tt0486602/?ref_=adv_li_tt,1996,6.1,8,Add a Plot,tt0486602
Knockout Kings 2002,https://www.imdb.com/title/tt0486608/?ref_=adv_li_tt,2002,5.0,11,Add a Plot,tt0486608
Lego Star Wars: The Video Game,https://www.imdb.com/title/tt0486613/?ref_=adv_li_tt,2005,8.1,"2,702","Play through the Star Wars prequel trilogy in Episodes I, II and III in Lego.",tt0486613
Lego Star Wars: The Video Game,https://www.imdb.com/title/tt0486613/?ref_=adv_li_tt,2005,8.1,"2,701","Play through the Star Wars prequel trilogy in Episodes I, II and III in Lego.",tt0486613
Tales of Legendia,https://www.imdb.com/title/tt0486659/?ref_=adv_li_tt,2005,7.7,72,Add a Plot,tt0486659
Shadow of the Colossus,https://www.imdb.com/title/tt0486673/?ref_=adv_li_tt,2005,9.3,"4,035",A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,tt0486673
Battletoads & Double Dragon,https://www.imdb.com/title/tt0487873/?ref_=adv_li_tt,1993,7.6,173,Cross-over video-game featuring characters from the Double Dragon and Battletoads franchise.,tt0487873
Delta Force 2,https://www.imdb.com/title/tt0487892/?ref_=adv_li_tt,1999,6.7,86,"You're a member of the U.S. Army's best kept secret: the elite SPECIAL OPERATIONS unit known as Delta Force, When the best of the rest can't handle the op, YOU are called into action. Can you handle THE JOB ?",tt0487892
Donald's Alphabet Chase,https://www.imdb.com/title/tt0487896/?ref_=adv_li_tt,1988,0.0,0,Add a Plot,tt0487896
Joe Blade II,https://www.imdb.com/title/tt0487917/?ref_=adv_li_tt,1988,0.0,0,Add a Plot,tt0487917
Nemesis of the Roman Empire,https://www.imdb.com/title/tt0487931/?ref_=adv_li_tt,2003,0.0,0,"Command the legions of Rome, Carthage, Gaul, or Iberia in a real-time strategy slug-fest.",tt0487931
Shadowgate,https://www.imdb.com/title/tt0487953/?ref_=adv_li_tt,1987,7.6,78,"The ""last of a great line of hero-kings"" is charged with the task of saving the world by defeating the Warlock Lord, who is attempting to summon up the demon Behemoth out of Hell.",tt0487953
Street Fighter EX2,https://www.imdb.com/title/tt0487959/?ref_=adv_li_tt,1998,7.1,124,"It is a sequel to the original Street Fighter EX, a 3D spinoff of the Street Fighter series.",tt0487959
S.W.A.T.3,https://www.imdb.com/title/tt0487963/?ref_=adv_li_tt,1999,7.7,129,"Simulation of how SWAT teams operate in the field. The game is set in 2005. Face a number of fictional terrorist groups including a Kurdish splinter group, a Russian communist group and a paranoid US militia, all of whom want to nuke L.A.",tt0487963
Makai Kingdom: Chronicles of the Sacred Tome,https://www.imdb.com/title/tt0488026/?ref_=adv_li_tt,2005,8.4,24,"Lord Zetta, the king of Netherworld, tried to rewrite the history of the land but didn't succeed, and in the process brought demise onto himself. Three evil Overlords appeared before Zetta ... See full summary »",tt0488026
T.R.A.G.: Tactical Rescue Assault Group,https://www.imdb.com/title/tt0488299/?ref_=adv_li_tt,1998,8.3,11,"It is 2046. An armed terrorist group has attacked and occupied the Togusa Building, owned by the mayor military supplier, Machinery Gear, Inc. A special commando unit has been sent to ... See full summary »",tt0488299
Battalion Wars,https://www.imdb.com/title/tt0488497/?ref_=adv_li_tt,2005,7.1,48,"The evil Kaiser Vlad, seeking to take advantage of the standoff, has assembled an army of shock troops, forcing The Western Frontier and the Tundran Territories to ally and fight back.",tt0488497
F.E.A.R. First Encounter Assault Recon,https://www.imdb.com/title/tt0488536/?ref_=adv_li_tt,2005,8.3,"2,894",You play an elite commando for a unique covert operations unit hunting for a mysterious fugitive who commands a clone army while mysterious things occur around you.,tt0488536
Genji: Dawn of the Samurai,https://www.imdb.com/title/tt0488547/?ref_=adv_li_tt,2005,8.1,60,A clan called the Heishi has conquered most of Japan through supernatural means. These means refer to magical stones called the Amahagane which bring supernatural powers (called the Kamui) ... See full summary »,tt0488547
Dan Dare: Pilot of the Future,https://www.imdb.com/title/tt0488723/?ref_=adv_li_tt,1986,6.2,12,"A licensed game based around the cult comic strip character, recreating his daring attempts to defeat Mekon and save the earth.",tt0488723
Joe Blade 3,https://www.imdb.com/title/tt0488746/?ref_=adv_li_tt,1989,0.0,0,Third in the shoot-em-up video-game series.,tt0488746
Nancy Drew: Last Train to Blue Moon Canyon,https://www.imdb.com/title/tt0488765/?ref_=adv_li_tt,2005,8.5,90,"Teen detective Nancy Drew and her friends, Frank and Joe Hardy, are invited on a train ride out West to figure out what happened to the man who vanished off the train over a century ago.",tt0488765
Narc,https://www.imdb.com/title/tt0488766/?ref_=adv_li_tt,1988,7.1,116,Side-scrolling shooter in which you blow away as many drug-dealing slimeballs as you can.,tt0488766
RoboCop,https://www.imdb.com/title/tt0488775/?ref_=adv_li_tt,2003,5.2,106,First person shooter starring the tin can cop himself.,tt0488775
RoboCop 3,https://www.imdb.com/title/tt0488776/?ref_=adv_li_tt,1992,4.7,228,Third in the Robocop video-game franchise.,tt0488776
Aliens Versus Predator: Extinction,https://www.imdb.com/title/tt0488867/?ref_=adv_li_tt,2003,6.6,185,"Battle for control of planet LV-742 as Aliens, Predators, and Colonial Marines in this tactical strategy game bases on the Aliens Versus Predator universe. Choose as species and outmaneuver... See full summary »",tt0488867
Age of Empires III,https://www.imdb.com/title/tt0488937/?ref_=adv_li_tt,2005,7.8,"2,608","Age of Empires III portrays the European colonization of the Americas, between approximately 1492 and 1876 AD. Command one of eight mighty European powers and colonize vast, uncharted territory.",tt0488937
Dungeon Siege II,https://www.imdb.com/title/tt0489033/?ref_=adv_li_tt,2005,7.5,203,"It's been a generation since you vanquished the evil that plagued the Land of Ehb, and now...a new menace has awakened. In Dungeon Siege II, the sequel to the best-selling RPG from Gas ... See full summary »",tt0489033
Galactix,https://www.imdb.com/title/tt0489059/?ref_=adv_li_tt,1992,0.0,0,Add a Plot,tt0489059
Gunstar Heroes,https://www.imdb.com/title/tt0489066/?ref_=adv_li_tt,1993,7.9,183,"The Gunstar family are the protectors of the planet Gunstar 9, After many years of peace, vicious dictator Colonel Red kidnapped the Gunstar twins' older brother and used mind control to make him his slave.",tt0489066
Hinter Gittern 2,https://www.imdb.com/title/tt0489079/?ref_=adv_li_tt,2005,0.0,0,Add a Plot,tt0489079
King Kong: The Official Game of the Movie,https://www.imdb.com/title/tt0489105/?ref_=adv_li_tt,2005,7.4,"1,981","Based on the events of the motion picture King Kong (2005), this game allows the player to play as man, or as Kong. When the crew arrive at Skull Island, they are faced with many thrills and challenges throughout.",tt0489105
Midnight Resistance,https://www.imdb.com/title/tt0489229/?ref_=adv_li_tt,1989,7.8,63,"Join the resistance fighters against the awesome powers of King Crimson, a manic scientist, and his Crimson Corps. Nine Levels of intense mayhem in this multiple-weapon side-scrolling shoot-em up.",tt0489229
The Playroom,https://www.imdb.com/title/tt0489254/?ref_=adv_li_tt,1989,0.0,0,Add a Plot,tt0489254
Sacred Gold,https://www.imdb.com/title/tt0489267/?ref_=adv_li_tt,2005,6.8,37,Add a Plot,tt0489267
Sacred Underworld,https://www.imdb.com/title/tt0489268/?ref_=adv_li_tt,2005,6.9,36,Add a Plot,tt0489268
Sly 3: Honor Among Thieves,https://www.imdb.com/title/tt0489277/?ref_=adv_li_tt,2005,8.6,"1,001",Sly Cooper and the gang must recruit a team of world-class thieves in order to penetrate his family vault of massive wealth and collect his inheritance before an evil genius retrieves it first.,tt0489277
Stella Deus: The Gate of Eternity,https://www.imdb.com/title/tt0489280/?ref_=adv_li_tt,2004,7.2,12,Add a Plot,tt0489280
Supreme Commander,https://www.imdb.com/title/tt0489287/?ref_=adv_li_tt,2007,7.8,223,The humans are under attack from an alien race. Take command of fast depleting army and wriggle you way through an extremely strategic campaign to restore balance to the universe.,tt0489287
TKKG 1 - Katjas Geheimnis,https://www.imdb.com/title/tt0489291/?ref_=adv_li_tt,1997,0.0,0,Add a Plot,tt0489291
TKKG 10 - Panik im Internat,https://www.imdb.com/title/tt0489292/?ref_=adv_li_tt,2002,0.0,0,Add a Plot,tt0489292
TKKG 11 - Film ab!,https://www.imdb.com/title/tt0489293/?ref_=adv_li_tt,2003,0.0,0,Add a Plot,tt0489293
TKKG 12 - Alarm in der Geisterbahn,https://www.imdb.com/title/tt0489294/?ref_=adv_li_tt,2004,0.0,0,Add a Plot,tt0489294
TKKG 13 - Zelle 13,https://www.imdb.com/title/tt0489295/?ref_=adv_li_tt,2004,0.0,0,Add a Plot,tt0489295
TKKG 14 - Gefährliche Ferien,https://www.imdb.com/title/tt0489296/?ref_=adv_li_tt,2005,0.0,0,Add a Plot,tt0489296
TKKG 2 - Tödliche Schokolade,https://www.imdb.com/title/tt0489297/?ref_=adv_li_tt,1998,0.0,0,Add a Plot,tt0489297
TKKG 3 - Der Schatz der Maya,https://www.imdb.com/title/tt0489298/?ref_=adv_li_tt,1998,0.0,0,Add a Plot,tt0489298
TKKG 4 - Das Rätsel der Villa Drachenkralle,https://www.imdb.com/title/tt0489299/?ref_=adv_li_tt,1999,0.0,0,Add a Plot,tt0489299
TKKG 5 - Verrat an TKKG,https://www.imdb.com/title/tt0489300/?ref_=adv_li_tt,1999,0.0,0,Add a Plot,tt0489300
TKKG 6 - Der Fälscherbande auf der Spur,https://www.imdb.com/title/tt0489301/?ref_=adv_li_tt,2000,0.0,0,Add a Plot,tt0489301
TKKG 7 - Wer stoppt den Feuerteufel?,https://www.imdb.com/title/tt0489302/?ref_=adv_li_tt,2000,0.0,0,Add a Plot,tt0489302
TKKG 8 - Das geheimnisvolle Testament,https://www.imdb.com/title/tt0489303/?ref_=adv_li_tt,2001,0.0,0,Add a Plot,tt0489303
TKKG 9 - Voodoozauber,https://www.imdb.com/title/tt0489304/?ref_=adv_li_tt,2001,0.0,0,Add a Plot,tt0489304
Taz-Mania,https://www.imdb.com/title/tt0489307/?ref_=adv_li_tt,1992,6.8,68,After his father tells him the legend of the giant prehistoric seabirds that supposedly populated Taz's homeland many years ago he decides find one of the delicious prehistoric giant eggs ... See full summary »,tt0489307
WipEout Pure,https://www.imdb.com/title/tt0489344/?ref_=adv_li_tt,2005,7.8,56,"WipEout Pure is the first adaptation for the PSP of the long-running Wipeout series. Players take part in a futuristic racing league known as the FX300 Racing League and control a fast hovercrafts on tight, cornering tracks.",tt0489344
Bud Tucker in Double Trouble,https://www.imdb.com/title/tt0490093/?ref_=adv_li_tt,1996,7.2,17,"This wacky adventure puts you in the shoes of Bud Tucker, a pizza delivery boy who also has a job as a lab assistant during the nights. The story involves some fantastic features, mad scientist and robots.",tt0490093
High Seize,https://www.imdb.com/title/tt0490145/?ref_=adv_li_tt,2005,0.0,0,Add a Plot,tt0490145
Jak X: Combat Racing,https://www.imdb.com/title/tt0490154/?ref_=adv_li_tt,2005,7.7,503,Jak and his friends must compete in a series of daring road races in order to find the antidote to a deadly poison given to them.,tt0490154
Namco x Capcom,https://www.imdb.com/title/tt0490186/?ref_=adv_li_tt,2005,6.8,34,"Namco x Capcom is a strategic role-playing game that features characters from games including Tekken, Ghosts 'n Goblins, Mega-Man and Biohazard.",tt0490186
O.D.T,https://www.imdb.com/title/tt0490191/?ref_=adv_li_tt,1998,7.8,14,Add a Plot,tt0490191
Pink Goes to Hollywood,https://www.imdb.com/title/tt0490197/?ref_=adv_li_tt,1993,4.1,14,"A 2D platform game very loosely based on the Pink Panther cartoon show. To become a Hollywood star, Pink must beat seven levels: the pirate ship, Sherwood Forest, western town, the fridge, haunted house, skyline and jungle temple.",tt0490197
Predator 2,https://www.imdb.com/title/tt0490198/?ref_=adv_li_tt,1991,6.4,114,Shoot-em-up video game based on the movie from Twentieth Century Fox.,tt0490198
Puggsy,https://www.imdb.com/title/tt0490201/?ref_=adv_li_tt,1993,6.5,19,"Platforming animation in which you control a small, orange creature on an alien world who must find his way home.",tt0490201
SiN Episodes: Emergence,https://www.imdb.com/title/tt0490214/?ref_=adv_li_tt,2006,6.8,118,"SiN Episodes follows HardCorps leader John R. Blade, as he battles the CEO of SinTEK Industries, Elexis Sinclaire, and her army of mutants.",tt0490214
Thunder Force,https://www.imdb.com/title/tt0490227/?ref_=adv_li_tt,1983,5.3,23,A very early side-scrolling space shooter.,tt0490227
007: Licence to Kill,https://www.imdb.com/title/tt0490765/?ref_=adv_li_tt,1989,6.1,199,"An action/arcade game based on the movie with the same name. Your aim is to revenge the death of Felix Leiter, who was killed by the drug baron Sanchez.",tt0490765
ActRaiser 2,https://www.imdb.com/title/tt0490780/?ref_=adv_li_tt,1993,7.1,40,Prequel to ActRaiser (1990). The backstory as to why Tanzra hates the Master. The Master is battling Tanzra and against the 7 monster bosses named after the seven deadly sins in this platform only based game.,tt0490780
America's Army: Rise of a Soldier,https://www.imdb.com/title/tt0490789/?ref_=adv_li_tt,2005,7.7,27,Add a Plot,tt0490789
Arkanoid: Doh It Again,https://www.imdb.com/title/tt0490793/?ref_=adv_li_tt,1997,6.7,26,"The player controls a paddle attempting to bounce it against some bricks. The ball striking a brick causes the brick to disappear. When all the bricks are gone, the player goes to the next level, where another pattern of bricks appears.",tt0490793
Chicken Little,https://www.imdb.com/title/tt0490846/?ref_=adv_li_tt,2005,6.3,272,Chicken Little is faced with an alien outbreak and must put a stop to it.,tt0490846
Desert Strike: Return to the Gulf,https://www.imdb.com/title/tt0490883/?ref_=adv_li_tt,1992,7.8,153,A chopper-based war game set after the first Gulf War.,tt0490883
Dragon Ball Z: Budokai Tenkaichi,https://www.imdb.com/title/tt0490901/?ref_=adv_li_tt,2005,7.7,402,"The game delivers an extreme 3D fighting experience, improving with over 150 playable characters, enhanced fighting techniques, beautifully refined effects and shading techniques, making each character's effects more realistic.",tt0490901
Cyber Police ESWAT,https://www.imdb.com/title/tt0490906/?ref_=adv_li_tt,1989,6.6,56,Futuristic platforming shooter with a S.W.A.T. Team theme.,tt0490906
Gauntlet: Seven Sorrows,https://www.imdb.com/title/tt0490946/?ref_=adv_li_tt,2005,5.5,40,Add a Plot,tt0490946
Kameo: Elements of Power,https://www.imdb.com/title/tt0491007/?ref_=adv_li_tt,2005,7.0,215,"You play as Kameo and can morph into different creatures as you go through a world of adventure. You have to rescue the Elemental Ancestors so you can destroy the Dark Troll King, Thorn.",tt0491007
Ratchet: Deadlocked,https://www.imdb.com/title/tt0491117/?ref_=adv_li_tt,2005,8.0,729,"After getting captured by Gleeman Vox, Ratchet is forced to compete in his underground game called DreadZone.",tt0491117
Ratchet: Deadlocked,https://www.imdb.com/title/tt0491117/?ref_=adv_li_tt,2005,8.0,728,"After getting captured by Gleeman Vox, Ratchet is forced to compete in his underground game called DreadZone.",tt0491117
"SpongeBob SquarePants: Lights, Camera, Pants!",https://www.imdb.com/title/tt0491165/?ref_=adv_li_tt,2005,7.1,228,"In order to win roles in ""The New Adventures of Mermaid Man and Barnacle Boy"" SpongeBob SquarePants, Patrick, Squidward Tentacles, Sandy Cheeks, Mr. Krabs and Plankton compete in a game party for 10 different roles, including the coveted super villain role.",tt0491165
Thunder Force II,https://www.imdb.com/title/tt0491188/?ref_=adv_li_tt,1990,6.7,41,"Eighteen years ago the planet Nebula was attacked by the Lone Star system, arch-enemy of the Interplanetary Federation. It's population decimated, the few survivors swore to protect its future with their lives. That time has come.",tt0491188
Worms World Party,https://www.imdb.com/title/tt0491242/?ref_=adv_li_tt,2001,8.0,358,Worms World Party is a 2D artillery turn-based tactics game involving controlling a team of worms and using a collection of weaponry to eliminate the opposing team(s).,tt0491242
SpongeBob SquarePants and Friends Unite!,https://www.imdb.com/title/tt0491672/?ref_=adv_li_tt,2005,7.3,112,Four of Nickelodeon's most popular cartoon characters join forces to prevent their archnemeses from achieving global domination.,tt0491672
The Outfit,https://www.imdb.com/title/tt0491678/?ref_=adv_li_tt,2005,6.2,54,"Combining intense squad-based combat and easy to use strategic gameplay elements, _Outfit, The (2005) (VG)_ takes players behind enemy lines, battling the Nazi War Machine through a variety of combat missions.",tt0491678
911 Paramedic,https://www.imdb.com/title/tt0492442/?ref_=adv_li_tt,2001,0.0,0,Save lives as a rookie emergency medical technician (EMT) with the help of your trusty PDA. This FMV game tries to bring a sense of realism and show how tough it is to be an EMT.,tt0492442
Crash Tag Team Racing,https://www.imdb.com/title/tt0492452/?ref_=adv_li_tt,2005,7.3,677,Crash must recover an amusement park's stolen Power Gems in order to earn its ownership.,tt0492452
Final Fight: Streetwise,https://www.imdb.com/title/tt0492456/?ref_=adv_li_tt,2006,6.4,55,Cody Travers was a hero in Metro City... a long time ago. He brought down the Mad Gear gang. But now he's just another boxing trainer. It's his younger brother Kyle that's the star of the ... See full summary »,tt0492456
Ghost Recon: Advanced Warfighter,https://www.imdb.com/title/tt0492457/?ref_=adv_li_tt,2006,7.3,788,"In 2013, Mexican, American, and Canadian governments pact a treaty id free trade.",tt0492457
Jungle Strike,https://www.imdb.com/title/tt0492467/?ref_=adv_li_tt,1993,7.4,85,Jungle-based sequel to the hit video-game Desert Strike.,tt0492467
Land of the Dead: Road to Fiddler's Green,https://www.imdb.com/title/tt0492470/?ref_=adv_li_tt,2005,6.3,201,"A backwoods farmer struggles to find his way to sanctuary, away from an army of reanimated corpses.",tt0492470
The Last Ninja,https://www.imdb.com/title/tt0492471/?ref_=adv_li_tt,1987,8.3,85,"You are the last living member of your clan after they were brutally slaughtered. Now, you seek to exact revenge.",tt0492471
Moon Tycoon,https://www.imdb.com/title/tt0492475/?ref_=adv_li_tt,2001,6.2,6,Add a Plot,tt0492475
Post Mortem,https://www.imdb.com/title/tt0492480/?ref_=adv_li_tt,2002,6.9,115,"Gustave MacPherson, a retired detective living in Paris, is hired by Sophia Blake to solve the murder of her sister and brother in law.",tt0492480
Tiny Toon Adventures: Buster's Hidden Treasure,https://www.imdb.com/title/tt0492497/?ref_=adv_li_tt,1993,8.5,84,"Buster must defeat Montana Max, get back some hidden treasure and rescue Babs Bunny. Can he pull it off?",tt0492497
Wonder Dog,https://www.imdb.com/title/tt0492505/?ref_=adv_li_tt,1992,4.0,12,Wonder Dog is an action platformer in which players must guide a dog through six levels to defeat the space terrorists known as the Pit Bullies.,tt0492505
Bratz Rock Angelz,https://www.imdb.com/title/tt0492571/?ref_=adv_li_tt,2005,5.4,519,The Bratz girls take the stage and travel to London where they form their very-own band.,tt0492571
Heart of the Alien,https://www.imdb.com/title/tt0492639/?ref_=adv_li_tt,1994,7.0,32,Sequel to Another World in which you take on the role of Lester and the Alien for another adventure.,tt0492639
Marvel Nemesis: Rise of the Imperfects,https://www.imdb.com/title/tt0492680/?ref_=adv_li_tt,2005,6.7,275,5 families of super heroes take on an unknown force led by an alien life form who plans to take over the world and marvels best must defend what is left of New York before matters get worse.,tt0492680
Shadow of the Beast,https://www.imdb.com/title/tt0492766/?ref_=adv_li_tt,1989,7.2,73,"In this game you assume the role of a beast. You travel in a vast, mystical land, fighting your way through many different enemies. You have to reach the enemy stronghold where you will, eventually, face the final challenge.",tt0492766
Cubivore: Survival of the Fittest,https://www.imdb.com/title/tt0493345/?ref_=adv_li_tt,2002,8.1,23,"As a cube-shaped animal in a simplistic-looking world, fight, devour and mate your way to the top of the food chain and claim the title of ""Animal Leader"".",tt0493345
Men in Black II: Alien Escape,https://www.imdb.com/title/tt0493434/?ref_=adv_li_tt,2002,5.6,38,You play as Agent J or K to fight aliens wanting to destroy New York City.,tt0493434
Beach Spikers,https://www.imdb.com/title/tt0494209/?ref_=adv_li_tt,2002,6.6,19,"The game delivers intense beach volleyball action for up to four players, and it showcases beautiful female athletes as they battle it out under the summer sun.",tt0494209
DoveZ: The Second Wave,https://www.imdb.com/title/tt0494220/?ref_=adv_li_tt,2004,0.0,0,Add a Plot,tt0494220
Halo 3,https://www.imdb.com/title/tt0494232/?ref_=adv_li_tt,2007,8.8,"11,876",Master Chief and the Arbiter must join together to attack the Covenant and destroy the Flood.,tt0494232
Halo 3,https://www.imdb.com/title/tt0494232/?ref_=adv_li_tt,2007,8.8,"11,877",Master Chief and the Arbiter must join together to attack the Covenant and destroy the Flood.,tt0494232
X-Men: Reign of Apocalypse,https://www.imdb.com/title/tt0494293/?ref_=adv_li_tt,2001,6.3,38,"Returning from Mojoverse, the X-Men returns to the X-Mansion, only to discover they are in an alternative universe, under Apocalypse control.",tt0494293
Castle Crashers,https://www.imdb.com/title/tt0494294/?ref_=adv_li_tt,2008,7.7,637,Four courageous knights fight against the evil Wizard Mage who has stolen the beloved crystal orb from the King's Castle.,tt0494294
Dan Dare 2: Mekon's Revenge,https://www.imdb.com/title/tt0495684/?ref_=adv_li_tt,1988,4.2,8,All-action sequel to the classic Dan Dare video-game in which the Mekon returns to take revenge on planet earth.,tt0495684
Last Ninja 2,https://www.imdb.com/title/tt0495719/?ref_=adv_li_tt,1990,8.4,68,"With the scrolls now in his possession, The Last Ninja begins training a new order of Ninja. During a training session he is mysteriously transported to New York. The Evil Shogun has returned!",tt0495719
Metroid Prime: Pinball,https://www.imdb.com/title/tt0495727/?ref_=adv_li_tt,2005,7.1,73,Battle deadly enemies and experience a number of special modes such as Clone Machine Multiball and the Wall-Jump Challenge while you blast and bomb your high score into a state of pure ... See full summary »,tt0495727
OutRun 2006: Coast 2 Coast,https://www.imdb.com/title/tt0495741/?ref_=adv_li_tt,2006,7.6,64,"Race from coast to glorious coast with a fresh new mission structure, the choice of one of 12 fully licensed Ferrari models and online play with up to 6 players for a thrilling head-to-head journey.",tt0495741
Sherlock Holmes: Consulting Detective,https://www.imdb.com/title/tt0495755/?ref_=adv_li_tt,1991,5.7,28,"Use your wits, interviewing skills, logic, and reasoning to solve three cases as Sherlock Holmes with over 90 minutes of motion video of Mr. Holmes' interaction with everyone on Baker Street.",tt0495755
The Simpsons: Bart's House of Weirdness,https://www.imdb.com/title/tt0495756/?ref_=adv_li_tt,1991,5.2,36,A rather surrealist platformer with Bart on a mission to save Krusty from Sideshow Bob.,tt0495756
Wonder Boy in Monster World,https://www.imdb.com/title/tt0495775/?ref_=adv_li_tt,1991,7.6,70,Wonder Boy In Monster World is the third game in the Monster World spin-off series.,tt0495775
Verliebt in Berlin,https://www.imdb.com/title/tt0496429/?ref_=adv_li_tt,2005,6.8,32,Add a Plot,tt0496429
Aerogauge,https://www.imdb.com/title/tt0496472/?ref_=adv_li_tt,1997,5.7,17,Add a Plot,tt0496472
