name,year,company_id,company_name,company_url,company_country,company_startyear
The Testament of Sherlock Holmes,2012,405,Spiders,https://www.igdb.com/companies/spiders,France,2008
The Testament of Sherlock Holmes,2012,818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986
The Testament of Sherlock Holmes,2012,110,Focus Entertainment,https://www.igdb.com/companies/focus-entertainment,France,1996
The Thing,2002,2713,Computer Artworks,https://www.igdb.com/companies/computer-artworks,,
The Thing,2002,1388,Black Label Games,https://www.igdb.com/companies/black-label-games,,
The Thing,2002,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
The Typing of the Dead,2000,1177,WOW Entertainment,https://www.igdb.com/companies/wow-entertainment,Japan,2000
The Typing of the Dead,2000,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
The Typing of the Dead,2000,874,Smilebit,https://www.igdb.com/companies/smilebit,Japan,2000
The Unholy War,1998,741,Toys for Bob,https://www.igdb.com/companies/toys-for-bob,United States,1989
The Unholy War,1998,4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996
The Urbz: Sims in the City,2004,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982
The Urbz: Sims in the City,2004,284,Maxis,https://www.igdb.com/companies/maxis,United States,1987
The Void,2008,1701,Ice-Pick Lodge,https://www.igdb.com/companies/ice-pick-lodge,Russian Federation,
The Void,2008,1702,ND Games,https://www.igdb.com/companies/nd-games,Russian Federation,
The Void,2008,108,Techland,https://www.igdb.com/companies/techland,Poland,1991
The Void,2008,7009,Mamba Games,https://www.igdb.com/companies/mamba-games,,
The Void,2008,2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003
The Walking Dead: Survival Instinct,2013,451,Terminal Reality,https://www.igdb.com/companies/terminal-reality,United States,1994
The Walking Dead: Survival Instinct,2013,66,Activision,https://www.igdb.com/companies/activision,United States,1979
The Warriors,2005,306,Rockstar Toronto,https://www.igdb.com/companies/rockstar-toronto,Canada,2002
The Warriors,2005,308,Rockstar Leeds,https://www.igdb.com/companies/rockstar-leeds,United Kingdom,2004
The Warriors,2005,29,Rockstar Games,https://www.igdb.com/companies/rockstar-games,United States,
The Warriors,2005,139,Take-Two Interactive,https://www.igdb.com/companies/take-two-interactive,United States,1993
The Whispered World,2009,538,Viva Media,https://www.igdb.com/companies/viva-media,United States,1999
The Whispered World,2009,1117,Lace Mamba Global,https://www.igdb.com/companies/lace-mamba-global,,
The Whispered World,2009,2248,Daedalic Entertainment,https://www.igdb.com/companies/daedalic-entertainment,Germany,2007
The Whispered World,2009,2248,Daedalic Entertainment,https://www.igdb.com/companies/daedalic-entertainment,Germany,2007
The Whispered World,2009,374,Koch Media,https://www.igdb.com/companies/koch-media,Germany,1994
The Whispered World,2009,423,Deep Silver,https://www.igdb.com/companies/deep-silver,Germany,2002
The Wild Thornberrys Movie,2002,34281,Human Soft Inc.,https://www.igdb.com/companies/human-soft-inc,,
The Wild Thornberrys Movie,2002,197,THQ,https://www.igdb.com/companies/thq,United States,1989
The Wild Thornberrys: Animal Adventures,2000,1277,Mattel Interactive,https://www.igdb.com/companies/mattel-interactive,,
The Witcher,2007,908,CD Projekt RED,https://www.igdb.com/companies/cd-projekt-red,Poland,2002
The Witcher,2007,2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003
The Witcher 2: Assassins of Kings,2011,3119,cdp.pl,https://www.igdb.com/companies/cdp-pl,Poland,1994
The Witcher 2: Assassins of Kings,2011,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
The Witcher 2: Assassins of Kings,2011,74,CyberFront,https://www.igdb.com/companies/cyberfront,Japan,1968
The Witcher 2: Assassins of Kings,2011,1217,Spike ChunSoft,https://www.igdb.com/companies/spike-chunsoft,Japan,2012
The Witcher 2: Assassins of Kings,2011,908,CD Projekt RED,https://www.igdb.com/companies/cd-projekt-red,Poland,2002
The Witcher 2: Assassins of Kings,2011,2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003
The Witcher 3: Wild Hunt,2015,50,WB Games,https://www.igdb.com/companies/wb-games,United States,1993
The Witcher 3: Wild Hunt,2015,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
The Witcher 3: Wild Hunt,2015,3119,cdp.pl,https://www.igdb.com/companies/cdp-pl,Poland,1994
The Witcher 3: Wild Hunt,2015,1217,Spike ChunSoft,https://www.igdb.com/companies/spike-chunsoft,Japan,2012
