name,year,company_id,company_name,company_url,company_country,company_startyear
Ni no Kuni: Wrath of the White Witch,2011,837,LEVEL-5,https://www.igdb.com/companies/level-5,Japan,1998
Ni no Kuni: Wrath of the White Witch,2011,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
Ni no Kuni: Wrath of the White Witch,2011,6330,Namco Bandai Games,https://www.igdb.com/companies/namco-bandai-games,Japan,2006
Nickelodeon Party Blast,2002,213,Infogrames,https://www.igdb.com/companies/infogrames,France,1983
Nickelodeon Party Blast,2002,1014,Data Design Interactive,https://www.igdb.com/companies/data-design-interactive,,
Nicktoons: Freeze Frame Frenzy,2004,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Nicktoons: Freeze Frame Frenzy,2004,872,Altron,https://www.igdb.com/companies/altron,,
NieR,2010,26,Square Enix,https://www.igdb.com/companies/square-enix,Japan,2003
NieR,2010,329,Cavia,https://www.igdb.com/companies/cavia,Japan,2000
Night Warriors: Darkstalkers' Revenge,1995,37,Capcom,https://www.igdb.com/companies/capcom,Japan,1979
Nightshade,2003,7052,Sega WOW,https://www.igdb.com/companies/sega-wow,Japan,2003
Nightshade,2003,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Ninja Assault,2002,263,Namco,https://www.igdb.com/companies/namco,Japan,1969
Ninja Assault,2002,1976,NOW Production,https://www.igdb.com/companies/now-production,Japan,1986
Ninja Blade,2009,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Ninja Blade,2009,1702,ND Games,https://www.igdb.com/companies/nd-games,Russian Federation,
Ninja Gaiden,2004,2020,"Tecmo Co., Ltd.",https://www.igdb.com/companies/tecmo-co-ltd,,
Ninja Gaiden,2004,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Gaiden 3,2012,858,Koei Tecmo Games,https://www.igdb.com/companies/koei-tecmo-games,Japan,2010
Ninja Gaiden 3,2012,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Gaiden Black,2005,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Gaiden Black,2005,14776,Tecmo,https://www.igdb.com/companies/tecmo,,1969
Ninja Gaiden II,2008,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Gaiden II,2008,128,Microsoft,https://www.igdb.com/companies/microsoft,United States,1975
Ninja Gaiden Sigma,2007,4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996
Ninja Gaiden Sigma,2007,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Gaiden Sigma,2007,24352,Tecmo Koei Games,https://www.igdb.com/companies/tecmo-koei-games,,
Ninja Gaiden Sigma,2007,14776,Tecmo,https://www.igdb.com/companies/tecmo,,1969
Ninja Gaiden Sigma 2,2009,858,Koei Tecmo Games,https://www.igdb.com/companies/koei-tecmo-games,Japan,2010
Ninja Gaiden Sigma 2,2009,769,Team NINJA,https://www.igdb.com/companies/team-ninja,Japan,1995
Ninja Reflex,2008,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982
Ninja Reflex,2008,1898,Sanzaru Games,https://www.igdb.com/companies/sanzaru-games,United States,
Ninja Reflex,2008,2250,Nunchuck Games,https://www.igdb.com/companies/nunchuck-games,,
Ninja: Shadow of Darkness,1998,1031,Core Design,https://www.igdb.com/companies/core-design--2,United Kingdom,1988
Ninja: Shadow of Darkness,1998,4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996
Nintendo Land,2012,1246,Nintendo EAD Software Development Group No.2,https://www.igdb.com/companies/nintendo-ead-software-development-group-no-dot-2,Japan,2003
Nintendo Land,2012,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Nintendo Land,2012,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
No Man's Sky,2016,445,505 Games,https://www.igdb.com/companies/505-games,United States,2006
No Man's Sky,2016,10100,Sony Interactive Entertainment,https://www.igdb.com/companies/sony-interactive-entertainment,Japan,2016
No Man's Sky,2016,1641,Hello Games,https://www.igdb.com/companies/hello-games,United Kingdom,2008
No More Heroes,2007,845,Grasshopper Manufacture,https://www.igdb.com/companies/grasshopper-manufacture,Japan,1998
No More Heroes,2007,6071,Marvelous,https://www.igdb.com/companies/marvelous,Japan,2011
No More Heroes,2007,104,Ubisoft Entertainment,https://www.igdb.com/companies/ubisoft-entertainment,,1986
No More Heroes,2007,832,Rising Star Games,https://www.igdb.com/companies/rising-star-games,United Kingdom,2004
No More Heroes,2007,2390,Engine Software,https://www.igdb.com/companies/engine-software,Netherlands,
No More Heroes 2: Desperate Struggle,2010,845,Grasshopper Manufacture,https://www.igdb.com/companies/grasshopper-manufacture,Japan,1998
No More Heroes 2: Desperate Struggle,2010,832,Rising Star Games,https://www.igdb.com/companies/rising-star-games,United Kingdom,2004
No More Heroes 2: Desperate Struggle,2010,782,Marvelous Entertainment,https://www.igdb.com/companies/marvelous-entertainment,Japan,1997
No More Heroes 2: Desperate Struggle,2010,6071,Marvelous,https://www.igdb.com/companies/marvelous,Japan,2011
No More Heroes 2: Desperate Struggle,2010,9066,Marvelous Europe Ltd.,https://www.igdb.com/companies/marvelous-europe-ltd,United Kingdom,2012
No More Heroes 2: Desperate Struggle,2010,2187,XSEED Games,https://www.igdb.com/companies/xseed-games--1,United States,2004
No More Heroes 2: Desperate Struggle,2010,2390,Engine Software,https://www.igdb.com/companies/engine-software,Netherlands,
No More Heroes: Heroes' Paradise,2010,129,Konami,https://www.igdb.com/companies/konami,Japan,1969
No More Heroes: Heroes' Paradise,2010,845,Grasshopper Manufacture,https://www.igdb.com/companies/grasshopper-manufacture,Japan,1998
No More Heroes: Heroes' Paradise,2010,2214,Feelplus,https://www.igdb.com/companies/feelplus,,1992
No More Heroes: Heroes' Paradise,2010,2213,AQ Interactive,https://www.igdb.com/companies/aq-interactive,Japan,2005
No More Heroes: Heroes' Paradise,2010,6071,Marvelous,https://www.igdb.com/companies/marvelous,Japan,2011
Nostalgia,2008,833,Ignition Entertainment,https://www.igdb.com/companies/ignition-entertainment,,
Nostalgia,2008,322,Matrix Software,https://www.igdb.com/companies/matrix-software,Japan,1994
Nostalgia,2008,2233,Red Entertainment,https://www.igdb.com/companies/red-entertainment,Japan,2000
Nostalgia,2008,14776,Tecmo,https://www.igdb.com/companies/tecmo,,1969
Nuclear Strike,1997,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982
Nuclear Strike,1997,38886,Granite Bay Software,https://www.igdb.com/companies/granite-bay-software,,
Nuclear Strike,1997,555,EA Tiburon,https://www.igdb.com/companies/ea-tiburon,United States,1994
Oddworld: Abe's Exoddus,1998,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Abe's Exoddus,1998,205,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993
Oddworld: Abe's Exoddus,1998,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Abe's Exoddus,1998,311,Digital Dialect,https://www.igdb.com/companies/digital-dialect,United States,
Oddworld: Abe's Oddysee,1997,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Abe's Oddysee,1997,205,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993
Oddworld: Abe's Oddysee,1997,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Abe's Oddysee,1997,311,Digital Dialect,https://www.igdb.com/companies/digital-dialect,United States,
Oddworld: Munch's Oddysee,2001,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Munch's Oddysee,2001,311,Digital Dialect,https://www.igdb.com/companies/digital-dialect,United States,
Oddworld: Munch's Oddysee,2001,213,Infogrames,https://www.igdb.com/companies/infogrames,France,1983
Oddworld: Munch's Oddysee,2001,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Munch's Oddysee,2001,53,Microsoft Game Studios,https://www.igdb.com/companies/microsoft-game-studios,United States,2002
Oddworld: Stranger's Wrath,2005,727,Oddworld Inhabitants,https://www.igdb.com/companies/oddworld-inhabitants,United States,1994
Oddworld: Stranger's Wrath,2005,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982
Oddworld: Stranger's Wrath,2005,6024,Square One Games Inc.,https://www.igdb.com/companies/square-one-games-inc,Canada,2010
Oddworld: Stranger's Wrath,2005,22594,Just Add Water,https://www.igdb.com/companies/just-add-water,United Kingdom,2006
Odin Sphere,2007,1060,Vanillaware,https://www.igdb.com/companies/vanillaware,Japan,2002
Odin Sphere,2007,818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986
Odin Sphere,2007,26,Square Enix,https://www.igdb.com/companies/square-enix,Japan,2003
Ogre Battle 64: Person of Lordly Caliber,1999,1828,Dual Corporation,https://www.igdb.com/companies/dual-corporation,,
Ogre Battle 64: Person of Lordly Caliber,1999,818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986
Ogre Battle 64: Person of Lordly Caliber,1999,26,Square Enix,https://www.igdb.com/companies/square-enix,Japan,2003
Ogre Battle 64: Person of Lordly Caliber,1999,4034,Nintendo of Europe,https://www.igdb.com/companies/nintendo-of-europe,Germany,1990
Ogre Battle 64: Person of Lordly Caliber,1999,1827,Quest,https://www.igdb.com/companies/quest,Japan,1988
Ogre Battle 64: Person of Lordly Caliber,1999,70,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969
Okage: Shadow King,2001,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Okage: Shadow King,2001,4084,Zener Works Inc.,https://www.igdb.com/companies/zener-works-inc,,
Okami,2006,2055,Clover Studio,https://www.igdb.com/companies/clover-studio,Japan,2004
Okami,2006,37,Capcom,https://www.igdb.com/companies/capcom,Japan,1979
Okami,2006,2670,HexaDrive,https://www.igdb.com/companies/hexadrive,Japan,2007
Okami,2006,431,Ready at Dawn,https://www.igdb.com/companies/ready-at-dawn,United States,2003
Omega Boost,1999,884,Polyphony Digital,https://www.igdb.com/companies/polyphony-digital,Japan,1998
Omega Boost,1999,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
One Piece Mansion,2001,37,Capcom,https://www.igdb.com/companies/capcom,Japan,1979
One Piece: Burning Blood,2016,1217,Spike ChunSoft,https://www.igdb.com/companies/spike-chunsoft,Japan,2012
One Piece: Burning Blood,2016,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
One Piece: Pirate Warriors,2012,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
One Piece: Pirate Warriors,2012,1394,Omega Force,https://www.igdb.com/companies/omega-force,Japan,1996
One Piece: Pirate Warriors,2012,858,Koei Tecmo Games,https://www.igdb.com/companies/koei-tecmo-games,Japan,2010
One Piece: Pirate Warriors 3,2015,858,Koei Tecmo Games,https://www.igdb.com/companies/koei-tecmo-games,Japan,2010
One Piece: Pirate Warriors 3,2015,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
One Piece: Pirate Warriors 3,2015,9608,Bandai Namco Entertainment America,https://www.igdb.com/companies/bandai-namco-entertainment-america,United States,2015
One Piece: Unlimited Adventure,2007,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
